customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore,split
8741-LQOBK,0,2023-02-01,Month-to-month,No,Bank transfer (automatic),No,Monthly,No,Yes,No,No phone service,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,35.05,219.07,5.0,2.0,train
7036-ZZKBD,0,2023-02-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,male,0.0,Yes,No,College,4.0,Retired,100–150k,66.4,92.68,6.0,3.0,train
7813-ZGGAW,0,2023-02-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,male,1.0,No,No,College,1.0,Retired,100–150k,96.6,239.89,0.0,4.0,train
0373-AIVNJ,0,2023-02-01,One year,No,Mailed check,No,Monthly, No  ,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Yes,no,No,Yes,male,0.0,No,No,College,1.0,Employed,60–100k,39.55,93.37,1.0,2.0,train
7762-ONLJY,0,2023-02-01,One year,No,Mailed check,No,Quarter,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,female,0.0,Yes,Yes,College,2.0,Employed,60–100k,19.7,27.84,0.0,3.0,train
1112-CUNAO,1,2023-02-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes, Yes  ,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,female,1.0,No,No,College,1.0,Retired,100–150k,89.85,244.23,2.0,2.0,train
0536-ESJEP,0,2023-02-01,Two year,Yes,Bank transfer (automatic),Yes,annual,No,Yes,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,male,0.0,Yes,No,College,2.0,Retired,100–150k,74.55,177.32,9.0,2.0,train
3162-ZJZFU,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,male,0.0,Yes,Yes,Bachelor,4.0,Self-employed,>150k,92.55,278.29,7.0,3.0,train
6635-MYYYZ,1,2023-02-01,One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,no,Yes,Yes,female,0.0,No,No,College,2.0,Self-employed,100–150k,85.35,241.32,5.0,2.0,train
5108-ADXWO,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,No,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,73.5,315.44,4.0,2.0,train
6892-EZDTG,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,Yes,No,Yes,female,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,91.65,283.28,4.0,2.0,train
5446-DKWYW,0,2023-02-01,One year,Yes, Electronic check  ,Yes,Monthly,Yes,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,female,1.0,Yes,Yes,College,3.0,Retired,60–100k,65.2,138.88,0.0,3.0,train
0906-QVPMS,0,2023-02-01,Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,115.15,353.23,9.0,3.0,train
6483-OATDN,0,2023-02-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,Yes,No,male,0.0,Yes,Yes,College,2.0,Self-employed,60–100k,51.3,100.06,0.0,ORPH-30d415d8,train
7743-EXURX,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,DSL,No,No,Yes,No,No,No,No,Yes,No,No,male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,51.05,136.09,3.0,1.0,train
1703-MGIAB,0,2023-02-01,Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,female,0.0,No,No,College,3.0,Self-employed,100–150k,69.0,208.86,9.0,3.0,train
0963-ZBDRN,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No, Yes  ,Yes,Yes,Yes,Yes,No,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,96.2,367.78,4.0,3.0,train
6696-YDAYZ,0,2023-02-01,Two year,No,Mailed check,No,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,male,0.0,Yes,Yes,College,4.0,Employed,60–100k,20.5,32.9,0.0,3.0,train
9447-YPTBX,0,2023-02-01,One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,female,0.0,Yes,No,College,3.0,Self-employed,60–100k,19.85,0.06,0.0,3.0,train
9986-BONCE,1,2023-02-01,Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,female,0.0,No,No,College,2.0,Self-employed,60–100k,20.95,29.02,0.0,4.0,train
5699-BNCAS,0,2023-02-01,Two year,Yes,Mailed check,Yes,Quarter,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,male,1.0,No,No,HighSchool,2.0,Retired,60–100k,24.65,18.31,0.0,3.0,train
5442-BXVND,0,2023-02-01,Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,24.25,42.8,0.0,4.0,train
6038-GCYEC,1,2023-02-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,female,0.0,No,No,College,2.0,Self-employed,60–100k,54.15,245.41,0.0,1.0,train
3724-BSCVH,0,2023-02-01,One year,No,Mailed check,No,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,male,0.0,Yes,Yes,College,3.0,Employed,60–100k,20.45,20.56,0.0,2.0,train
4415-WNGVR,0,2023-02-01,One year,Yes,Electronic check,No,Monthly,Yes,Yes,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,female,1.0,Yes,No,College,3.0,Retired,100–150k,79.2,186.4,8.0,2.0,train
5821-MMEIL,0,2023-02-01,Two year,No,Bank transfer (automatic),Yes,Quarter,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,female,0.0,Yes,No,College,2.0,Self-employed,60–100k,19.9,9.59,0.0,3.0,train
6598-RFFVI,1,2023-02-01,One year,No,Credit card (automatic),Yes,Monthly,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,male,0.0,No,No,College,1.0,Self-employed,60–100k,19.3,86.46,0.0,2.0,train
1099-BTKWT,0,2023-02-01,One year,Yes,Electronic check,No,Monthly,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,female,0.0,Yes,No,College,2.0,Self-employed,60–100k,54.4,253.66,9.0,3.0,train
8938-UMKPI,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,female,0.0,No,No,Bachelor,1.0,Retired,>150k,106.4,315.04,3.0,2.0,train
8849-PRIQJ,0,2023-02-01,One year,Yes,Electronic check,No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,Bachelor,2.0,Retired,>150k,109.4,325.48,8.0,2.0,train
5655-JSMZM,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,No,male,1.0,No,No,College,2.0,Retired,100–150k,96.2,282.82,0.0,2.0,train
6986-IXNDM,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,92.9,356.44,0.0,1.0,train
3727-JEZTU,0,2023-02-01,Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,female,0.0,No,No,College,2.0,Employed,60–100k,20.4,0.0,1.0,3.0,train
4256-ZWTZI,0,2023-02-01,Month-to-month,Yes,Mailed check,No,Monthly,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,No,Yes,No,Yes,female,0.0,No,Yes,College,1.0,Self-employed,60–100k,51.0,165.31,6.0,3.0,train
2675-DHUTR,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,male,1.0,Yes,No,College,2.0,Retired,100–150k,98.9,232.16,0.0,1.0,train
5208-FVQKB,0,2023-02-01,Two year,No,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,male,0.0,Yes,No,College,2.0,Self-employed,100–150k,67.95,139.1,13.0,2.0,train
4439-YRNVD,0,2023-02-01,Month-to-month,No,Electronic check,Yes,Monthly,No,No,No,No phone service,DSL,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,female,0.0,No,No,College,1.0,Employed,60–100k,36.25,169.58,0.0,3.0,train
0187-QSXOE,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes, Yes  ,Yes,Yes,No,Yes,male,1.0,Yes,No,College,2.0,Retired,100–150k,89.0,305.68,5.0,2.0,train
3737-GCSPV,1,2023-02-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,female,0.0,Yes,Yes,Bachelor,2.0,Retired,>150k,96.2,271.08,3.0,2.0,train
9795-VOWON,0,2023-02-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,No, No  ,No phone service,DSL,No,No,No,No,No,No,Yes,Yes,Yes,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,24.35,164.72,0.0,3.0,train
6101-IMRMM,1,2023-02-01,Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,male,0.0,No,Yes,Bachelor,2.0,Self-employed,>150k,94.5,347.08,5.0,1.0,train
7762-URZQH,1,2023-02-01,Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,106.05,354.35,4.0,1.0,train
1042-HFUCW,0,2023-02-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,No,No,Yes,female,0.0,No,Yes,College,2.0,Self-employed,60–100k,54.75,94.3,9.0,3.0,train
0625-AFOHS,0,2023-02-01,Two year,No,Mailed check,Yes,Quarter,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,female,0.0,Yes,Yes,College,2.0,Employed,60–100k,20.2,5.28,3.0,3.0,train
2530-ENDWQ,1,2023-02-01,Two year,Yes,Bank transfer (automatic),Yes,Annual,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,93.7,364.62,4.0,3.0,train
9921-QFQUL,0,2023-02-01,Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No, Yes  ,Yes,Yes,No,No,female,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,90.15,340.7,1.0,ORPH-04fc0378,train
3407-QGWLG,0,2023-02-01,Month-to-month,Yes,Mailed check,No,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,male,0.0,No,Yes,College,2.0,Self-employed,60–100k,20.05,0.0,1.0,3.0,train
6121-TNHBO,0,2023-02-01,One year,No,Bank transfer (automatic),No,Monthly,No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,female,1.0,No,No,College,1.0,Retired,100–150k,83.0,105.05,0.0,2.0,train
4609-KNNWG,0,2023-02-01,Two year,No,Mailed check,Yes,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,Yes,female,0.0,Yes,Yes,College,4.0,Employed,60–100k,19.9,39.25,4.0,3.0,train
4544-RXFMG,0,2023-02-01,One year,Yes,Mailed check,No,Monthly,Yes,No,Yes,No,DSL,No,No,No,No,No,No,No,No,No,Yes,male,0.0,Yes,Yes,College,2.0,Self-employed,60–100k,43.45,92.65,3.0,3.0,train
3985-HOYPM,0,2023-02-01,One year,No,Mailed check, No  ,Monthly,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service, No internet service  ,No internet service,Yes,Yes,Yes,Yes,male,0.0,No,No,College,1.0,Employed,60–100k,19.4,78.56,2.0,3.0,train
0572-ZJKLT,0,2023-02-01,Two year,No,Mailed check,No,Monthly,No,Yes,Yes,Yes,Fiber optic,Yes,No, Yes  ,Yes,No,Yes,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,99.65,316.91,5.0,2.0,train
0230-UBYPQ,0,2023-02-01,One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,No,No phone service,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,male,1.0,Yes,No,HighSchool,2.0,Retired,60–100k,36.1,145.72,0.0,4.0,train
1309-BXVOQ,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,No,Bachelor,3.0,Retired,>150k,106.1,341.07,3.0,2.0,train
1031-IIDEO,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,No, Fiber optic  ,No,No,No,No,No,No,No, Yes  ,No,No,female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,70.85,273.23,5.0,1.0,train
1226-IENZN,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,YES ,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,No,No,Yes,male,1.0,No,No,College,2.0,Retired,100–150k,78.75,232.2,2.0,2.0,train
5850-BDWCY,0,2023-02-01,Month-to-month, No  ,Mailed check,No,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,female,0.0,No,No,College,1.0,Employed,60–100k,20.2,50.12,4.0,2.0,train
4075-WKNIU,0,2023-02-01,Two year,No,Mailed check,No,Monthly,No,No,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,73.35,216.35,3.0,3.0,train
5161-XEUVX,0,2023-02-01,Two year,No,Mailed check,Yes,Monthly,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,94.3,341.15,7.0,3.0,train
1272-ILHFG,0,2023-02-01,One year,No,Mailed check,Yes,Quarter,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,male,0.0,Yes,Yes,College,4.0,Employed,60–100k,19.65,0.0,0.0,3.0,train
8441-SHIPE,0,2023-02-01,Two year,Yes,Bank transfer (automatic),Yes,Quarter,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,Yes,female,0.0,No,No,College,1.0,Self-employed,60–100k,25.6,33.7,0.0,3.0,train
7758-XKCBS,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,No,No phone service, DSL  ,No,No,No,Yes,No,No,No,No,No,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,29.7,73.1,6.0,3.0,train
0531-XBKMM,0,2023-02-01,Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes, DSL  ,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,male,0.0,No,Yes,College,2.0,Self-employed,100–150k,65.7,79.81,7.0,3.0,train
3452-SRFEG,0,2023-02-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,NO INTERNET SERVICE ,No, No  ,No,No,Yes,No,Yes,Yes,male,0.0,No,No,Bachelor,3.0,Retired,>150k,74.6,217.54,0.0,UNK-e91df5d4,train
7470-DYNOE,0,2023-02-01,One year,Yes,Electronic check,No,Monthly,No,Yes,Yes, No  ,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,male,0.0,No,No,College,2.0,Self-employed,100–150k,61.1,177.13,3.0,2.0,train
2075-RMJIK,0,2023-02-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Yes,female,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,49.4,67.05,6.0,1.0,train
8083-YTZES,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,Yes,Yes,male,0.0,No,No,Bachelor,2.0,Self-employed,>150k,74.35,185.08,3.0,2.0,train
2867-UIMSS,1,2023-02-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,80.5,338.64,5.0,2.0,train
5222-IMUKT,0,2023-02-01,Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,No,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,91.05,394.23,0.0,2.0,train
5614-DNZCE,0,2023-02-01,Two year,Yes,Credit card (automatic),Yes,Monthly,No,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,YES ,Yes,Yes,Yes,female,0.0,No,No,College,1.0,Retired,100–150k,64.9,180.92,10.0,4.0,train
9625-QNLUX,0,2023-02-01,Two year,Yes,Credit card (automatic),No,Annual,No,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes, Yes  ,Yes,Yes,male,0.0,Yes,Yes,Bachelor,2.0,Retired,>150k,103.25,366.33,5.0,ORPH-594b08fb,train
6502-HCJTI,1,2023-02-01,Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,male,1.0,Yes,No,College,2.0,Retired,100–150k,94.7,189.03,0.0,1.0,train
4625-EWPTF,1,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,No,No phone service,DSL,Yes,No,No,No,No,No,No,No,No,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,30.45,87.66,4.0,2.0,train
7721-DVEKZ,0,2023-02-01,Month-to-month,No,Mailed check,Yes,Monthly,No,No,Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,female,0.0,No,No,College,1.0,Employed,60–100k,19.65,32.54,0.0,3.0,train
3001-UNBTL,0,2023-02-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,male,1.0,Yes,Yes,Bachelor,3.0,Retired,>150k,103.95,316.24,6.0,2.0,train
2794-XIMMO,1,2023-02-01,One year,Yes,Electronic check,No,Monthly,No,Yes,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,Yes,No,College,2.0,Self-employed,100–150k,60.45,229.81,2.0,3.0,train
6682-QJDGB,1,2023-02-01,Month-to-month,Yes,Mailed check,No,Monthly,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,male,0.0,No,Yes,College,1.0,Self-employed,60–100k,55.25,95.13,6.0,2.0,train
