Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,customerID
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,5947-SGKCL
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,3712-PKXZA
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,No,6317-YPKDH
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,6582-OIVSP
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,9367-WXLCH
One year,No,,Yes,Monthly,Yes,Yes,5524-KHNJP
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,1918-ZBFQJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,1024-GUALD
Month-to-month,Yes,Mailed check,Yes,Monthly,,No,4827-USJHP
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,8167-GJLRN
One year,No,Electronic check,Yes,Monthly,Yes,Yes,0956-SYCWG
Month-to-month,No,Credit card (automatic),Yes, Monthly  ,Yes,Yes,8017-UVSZU
One year,Yes,Credit card (automatic),Yes,Semiann,No,Yes,7100-FQPRV
,Yes,Electronic check,Yes,Monthly,,No,2472-OVKUP
Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,2984-RGEYA
Two year,No,Credit card (automatic),Yes,Monthly,No,Yes,9680-NIAUV
Two year,No,Credit card (automatic),No,Annual,Yes,Yes,2146-EGVDT
UNK-8b4327cc,Yes, Electronic check  ,Yes,Monthly,Yes,Yes,2604-IJPDU
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,9178-JHUVJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6168-YBYNP
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,7255-SSFBC
Month-to-month,No,Mailed check,Yes,Monthly,No,No,3645-DEYGF
One year,Yes,Credit card (automatic),Yes,Annual,Yes,Yes,9323-HGFWY
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,8544-GOQSH
Two year,No,Electronic check,No,Quarter,No,Yes,3363-DTIVD
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,7018-WBJNK
Month-to-month,No,Credit card (automatic),Yes,Monthly,No,Yes,9142-KZXOP
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7674-YTAFD
Two year,Yes,,Yes,Monthly,Yes,Yes,6348-SNFUS
Month-to-month,No,Electronic check,No,Monthwy,No,No,1285-OKIPP
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,7825-ECJRF
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,1347-KTTTA
UNK-ea98536e,Yes,Credit card (automatic),Yes,Monthly,Yes,No,7841-TZDMQ
Month-to-month,No,Electronic check,No,Monthly,Yes,No,4195-NZGTA
Two year,YES ,Mailed check,No,Monthly,Yes,Yes,7157-SMCFK
One year,No,Electronic check,Yes,Monthly,Yes,Yes,4709-LKHYG
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,2504-DSHIH
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0699-NDKJM
Two year,No,Credit card (automatic),Yes,Monthly,No,Yes,9286-BHDQG
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0230-WEQUW
Two year,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,2040-LDIWQ
Month-to-month,Yes,,Yes,Monthly,Yes,No,6496-JDSSB
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,9408-SSNVZ
Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4443-EMBNA
One year,YES ,Electronic check,No,Monthly,Yes,No,6469-MRVET
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,0742-MOABM
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,5961-VUSRV
One year,Yes,Mailed check,No,Monthly,,Yes,6778-JFCMK
One year,Yes,Mailed check,No,Monthly,Yes,,6341-JVQGF
Month-to-month,No,Mailed check,Yes,Monthly,No,No,2232-DMLXU
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,4811-JBUVU
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,0945-TSONX
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,2651-ZCBXV
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,3316-UWXUY
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,8937-RDTHP
Two year,No,Credit card (automatic),No,Monthly,No,Yes,7083-MIOPC
Month-to-month,No,Electronic check,Yes,Monthly,No,No,1984-GPTEH
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,1251-KRREG
Two year,Yes,Mailed check,No,Quarter,No,Yes,0621-JFHOL
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,9903-LYSAB
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,0094-OIFMO
Two year,No,Mailed check,No,Monthly,No,No,9227-UAQFT
Two year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,7301-ABVAD
Two year, No  ,Bank transfer (automatic),No,Semiann,Yes,Yes,6614-FHDBO
One year,Yes,Credit card (automatic),No,Quarter,Yes,Yes,7576-ASEJU
Month-to-month,No,Electronic check,No,Monthly,No,Yes,9058-HRZSV
Month-to-month,Yes,Electronic check,Yes,Monthly, No  ,No,ORPH-93eedfa1
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,0221-WMXNQ
One year,No,Mailed check,No,Monthly,No,Yes,0303-UNCIP
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,9947-OTFQU
Month-to-month, Yes  ,Mailed check,Yes,Monthly,No,No,0322-YINQP
One year,Yes,Electronic check,Yes,Quarter,Yes,Yes,0959-WHOKV
One year,Yes,Electronic check,Yes,Monthly,Yes,Yes,4075-JFPGR
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,4629-NRXKX
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,9514-JDSKI
One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,3282-ZISZV
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,3675-YDUPJ
Two year,Yes,Electronic check,No,Quarter,Yes, Yes  ,4111-BNXIF
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,7017-VFHAY
One year,No,Credit card (automatic),No,Monthly,Yes,Yes,6655-LHBYW
Month-to-month,Yes,Credit card (automatic),No,Monthly,Yes,Yes,4959-JOSRX
Month-to-month,Yes,MAILED CHECK ,No,Monthly,No,Yes,5046-NUHWD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7273-TEFQD
 Month-to-month  ,Yes,Electronic check,Yes,Monthly,Yes,No,3606-TWKGI
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7529-ZDFXI
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7605-BDWDC
One year,No,Mailed check,No,Monthly,No,Yes,1950-KSVVJ
Two year,No,Mailed check,No,Monthly,No,Yes,0123-CRBRT
Two year,No,Bank transfer (automatic),No,Semiann,No,Yes,6292-TOSSS
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,3197-ARFOY
Two year,No,Mailed check,No,Monthly,Yes,Yes,ORPH-8782bc6c
,Yes,Credit card (automatic),No,Quarter,Yes,Yes,ORPH-3543787b
Month-to-month,Yes,Electronic check,,Monthly,Yes,Yes,4385-GZQXV
Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,7633-MVPUY
Month-to-month,No,Bank transfer (automatic),,Monthly,Yes,Yes,6366-ZGQGL
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,4716-HHKQH
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,5940-AHUHD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,4484-GLZOU
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3179-GBRWV
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,8645-KWHJO
Month-to-month,No,Bank transfer (automatic),Yes, Monthly  ,Yes, No  ,4130-MZLCC
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,0314-TKOSI
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,8229-MYEJZ
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,2080-SRCDE
Month-to-month,No,Mailed check,No,Monthly,No,Yes,9577-WJVCQ
Month-to-month,No,Mailed check,Yes,Monthly,No,No,ORPH-ea461cc5
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,6202-DYYFX
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,3808-HFKDE
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,5583-SXDAG
Month-to-month,Yes,Electronic check, Yes  ,Monthly,Yes,Yes,3488-PGMQJ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,3580-REOAC
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,7534-BFESC
One year,No,Mailed check,No,Quarter,No,Yes,3727-OWVYD
One year,No,Mailed check,No,Monthly,Yes,Yes,2294-SALNE
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,4847-TAJYI
Month-to-month,No,Mailed check,No,Monthly,Yes,Yes,1563-IWQEX
Month-to-month,No,Mailed check,No,Monthly,No,No,UNK-8994863a
Two year,No,Electronic check,No,Annual,Yes,Yes,6556-DBKZF
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6851-WEFYX
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,2985-JUUBZ
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,6390-DSAZX
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,0895-LMRSF
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,8098-LLAZX
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8266-VBFQL
Two year,No,Credit card (automatic),Yes,Semiann,Yes,Yes,8181-YHCMF
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,2240-HSJQD
Two year,No,Mailed check,No,Monthly,Yes,Yes,ORPH-a3a5d1ef
Month-to-month,Yes,Electronic check,No,Monthly,No,No,0265-EDXBD
Two year,No,Mailed check,Yes,Monthly,,Yes,4115-BNPJY
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,3167-SNQPL
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,4091-TVOCN
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,1098-TDVUQ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7277-OZCGZ
Two year,No,Credit card (automatic),Yes,Annual,Yes,Yes,1557-EMYVT
Month-to-month,Yes, Electronic check  ,Yes,Monthly,No,No,2799-ARNLO
,Yes,Electronic check,Yes,Monthly,Yes,Yes,7563-BIUPC
One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,5027-YOCXN
Two year,Yes,Credit card (automatic),No,Quarter,Yes,Yes,3973-SKMLN
One year,No,Credit card (automatic),Yes,Monthly,No,Yes,2321-OMBXY
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,2840-XANRC
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,6745-JEFZB
One year,No,Bank transfer (automatic),No,Semiann,Yes,Yes,5020-ZSTTY
Two year,Yes,Electronic check,No,Annual,Yes,Yes,9880-TDQAC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8705-WZCYL
One year,No,Mailed check,Yes,Quarter,Yes,Yes,7102-JJVTX
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,8626-PTQGE
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,4983-CLMLV
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,5701-YVSVF
Month-to-month,Yes,Electronic check,Yes,,Yes,Yes,5804-LEPIM
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,ORPH-db6adef7
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,2739-CACDQ
Two year,Yes,Mailed check,Yes,Quarter,Yes,Yes,9385-EHGDO
One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,9498-FIMXL
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,2379-GYFLQ
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,ORPH-8031dbf1
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,2868-SNELZ
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4322-RCYMT
Two year,Yes,,No,Quarter,Yes,Yes,6680-NENYN
Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,2088-IEBAU
Month-to-month, Yes  ,Credit card (automatic),Yes,Monthly,No,Yes,7982-VCELR
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1343-EHPYB
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,6035-BXTTY
