gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,customerID
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,3714-NTNFO
Male,0.0,No,No,College,2.0,Employed,60–100k,5948-UJZLF
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,7760-OYPDY
Male,0.0,No,No,College,1.0,Retired,100–150k,7639-LIAYI
Female,0.0,Yes,Yes,College,2.0,Retired,100–150k,2954-PIBKO
Female,1.0,No,No,College,1.0,Retired,100–150k, 8012-SOUDQ  
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,9420-LOJKX
Female,1.0,Yes,No,College,3.0,Retired,60–100k,6575-SUVOI
Female,1.0,Yes,No,College,2.0,Retired,100–150k,7495-OOKFY
Female,1.0,Yes,Yes,College,3.0,Retired,100–150k,4667-QONEA
Male,1.0,No,No,College,1.0,Retired,100–150k,1658-BYGOY
Female,0.0,Yes,Yes,Bachelor,2.0,Retired,>150k,8769-KKTPH
Male,1.0,Yes,Yes,Bachelor,3.0,Retired,>150k,5067-XJQFU
Female,0.0,Yes,Yes,College,2.0,Self-employed,60–100k,3957-SQXML
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,5954-BDFSG
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,0434-CSFON
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,1215-FIGMP
Male,0.0,Yes,No,College,2.0,Self-employed,60–100k,0526-SXDJP
Female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,0557-ASKVU
Female,0.0,No,No,,1.0,Self-employed,>150k,5698-BQJOH
Female,0.0,No,No,College,1.0,Self-employed,100–150k,5122-CYFXA
Male,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,8627-ZYGSZ
Female,0.0,No,No,College,1.0,Self-employed,100–150k,3410-YOQBQ
Female,0.0,Yes,Yes,College,5.0,Self-employed,60–100k,3170-NMYVV
Male,0.0,No,No,Bachelor,3.0,Self-employed,>150k,7410-OIEDU
Male,0.0,No,No,College,1.0,Employed,60–100k,2273-QCKXA
Female,0.0,Yes,Yes,College,2.0,Self-employed,60–100k,0731-EBJQB
Male,1.0,Yes,Yes,Bachelor,2.0,Retired,>150k,1891-QRQSA
Male,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,8028-PNXHQ
Female,0.0,No,Yes,College,1.0,Retired,100–150k,5630-AHZIL
Female,1.0,No,No,Bachelor,1.0,Retired,>150k,2673-CXQEU
Female,0.0,No,No,College,1.0,Self-employed,60–100k,6416-JNVRK
Female,0.0,Yes,Yes,College,5.0,Self-employed,60–100k,5590-ZSKRV
Male,1.0,No,No,College,1.0,Retired,100–150k,0191-ZHSKZ
Female,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,3887-PBQAO
Female,0.0,No,Yes,Bachelor,2.0,Self-employed,>150k,5919-TMRGD
Female,0.0,no,Yes,College,3.0,Self-employed,60–100k,8108-UXRQN
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,9191-MYQKX
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,9919-YLNNG
Female,0.0,Yes,No,College,2.0,Self-employed,60–100k,0318-ZOPWS
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,4445-ZJNMU
Female,0.0,Yes,No,College,3.0,Retired,100–150k,4808-YNLEU
Female,0.0,Yes,Yes,College,2.0,Self-employed,60–100k,1862-QRWPE
Female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,2796-NNUFI
Male,0.0,Yes,No,College,3.0,Employed,60–100k,3016-KSVCP
 Male  ,0.0,Yes,Yes,Bachelor,3.0,Self-employed,>150k,4767-HZZHQ
Male,1.0,No,No,College,1.0,Retired,100–150k,2424-WVHPL
FEMALE ,0.0,Yes,Yes,College,4.0,Self-employed,100–150k,7233-PAHHL
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,6067-NGCEU
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,9848-JQJTX
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,8637-XJIVR
Male,0.0,Yes,Yes,College,3.0,Retired,100–150k,9803-FTJCG
Male,0.0,No,No,College,1.0,Employed,60–100k,0278-YXOOG
Male,0.0,No,,College,2.0,Self-employed,60–100k,3212-KXOCR
Female,1.0,Yes,No,College,2.0,Retired,100–150k,4598-XLKNJ
Male,0.0,No,No,College,1.0,Employed,60–100k,6380-ARCEH
Female,0.0,Yes,Yes,College,2.0,Employed,60–100k,3679-XASPY
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,7123-WQUHX
Female,1.0,Yes,No,HighSchool,2.0,Retired,60–100k,5386-THSLQ
Male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,3192-NQECA
Male,0.0,No,No,College,1.0,Employed,60–100k,6180-YBIQI
Female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,6728-DKUCO
Female,0.0,No,No,College,2.0,Employed,60–100k,9750-BOOHV
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,8597-CWYHH
Male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,2848-YXSMW
Male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,0486-HECZI
Female,0.0,No,No,College,1.0,Self-employed,100–150k,4549-ZDQYY
Female,0.0,No,No,Bachelor,2.0,Self-employed,>150k,5712-AHQNN
Female,1.0,Yes,No,College,2.0,Retired,100–150k,4846-WHAFZ
Female,0.0,Yes,,College,2.0,Self-employed,60–100k,5256-SKJGO
Male,0.0,Yes,Yes,Bachelor,3.0,Self-employed,>150k,3071-VBYPO
Female,0.0,No,No,College,1.0,Self-employed,,9560-BBZXK
Female,0.0,Yes,Yes,Bachelor,5.0,Retired,>150k,5299-RULOA
Female,0.0,No,No,College,3.0,Employed,60–100k,8402-OOOHJ
Male,0.0, Yes  ,Yes,Bachelor,,Retired,>150k,9445-ZUEQE
Female,0.0,Yes,Yes,Bachelor,4.0,Retired,>150k,1091-SOZGA
Female,0.0,No,No,College,1.0,Employed,100–150K ,2928-HLDBA
Male,0.0,No,No,Bachelor,2.0,Self-employed,>150k,0404-SWRVG
Female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,6497-TILVL
Female,0.0,Yes,Yes,College,2.0,Employed,60–100k,7219-TLZHO
Male,0.0,No,No,Bachelor,2.0,Self-employed,>150k,4622-YNKIJ
Female,1.0,No,No,College,1.0,Retired,100–150k,4412-YLTKF
Male,0.0,Yes,,College,2.0,Self-employed,60–100k,6734-PSBAW
Male,0.0,No,No,College,2.0,Employed,60–100k,3930-ZGWVE
Male,1.0,No,No,College,1.0,Retired,60–100k,2639-UGMAZ
Female,0.0,No,No,,3.0,Self-employed,60–100K ,2876-GZYZC
Female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,6207-WIOLX
Male,0.0,No,No,College,1.0,Self-employed,60–100k,8587-XYZSF
Male,0.0,No,No,College,1.0,Self-employed,60–100k,3091-FYHKI
Male,0.0,No,No,College,1.0,Employed,60–100k,2372-HWUHI
Female,0.0,No,No,College,1.0,Self-employed,100–150K ,7799-LGRDP
Female,0.0,No, No  ,Bachelor,1.0,Retired,>150k,7850-VWJUU
Female,0.0,Yes,Yes,College,3.0,Employed,60–100k,3774-VBNXY
Male,0.0,No,Yes,College,2.0,Self-employed,60–100k,6217-KDYWC
Female,1.0,Yes,No,College,3.0,Retired,100–150k,0390-DCFDQ
Female,1.0,Yes,Yes,College,3.0,Retired,100–150k,3146-MSEGF
Female,0.0,No,No,College,1.0,Self-employed,100–150k,4080-OGPJL
Female,0.0,Yes,No,Bachelor,3.0,Retired,>150k,1095-WGNGG
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,2636-SJDOU
Male,1.0,Yes,No,HighSchool,2.0,Retired,60–100k,1131-QQZEB
Female,0.0,Yes,Yes,Bachelor,4.0,Retired,>150k,5716-EZXZN
Male,0.0,No,No,College,2.0,Employed,60–100k,6837-BJYDQ
Male,0.0,No,No,College,1.0,Self-employed,60–100k,2135-RXIHG
Male,0.0,No,Yes,College,2.0,Self-employed,100–150k,6440-DKQGE
Male,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,3466-BYAVD
Female,0.0,Yes,Yes,College,4.0,Self-employed,100–150k,3780-YVMFA
Male,0.0,No,No,Bachelor,3.0,Self-employed,>150k,3874-EQOEP
Female,0.0,Yes,Yes,Bachelor,3.0,Self-emLloyed,>150k,1679-JRFBR
Male,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,9073-ZZIAY
Female,0.0,Yes,Yes,,4.0,Employed,60–100k,3077-RSNTJ
Female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,6551-GNYDG
Female,0.0,No,No,Bachelor,2.0,Retired,>150k,9167-APMXZ
Male,0.0,Yes,Yes,College,3.0,Employed,60–100k,2749-CTKAJ
Male,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,6371-NZYEG
Male,0.0,No,No,College,2.0,Self-employed,60–100k,7554-NEWDD
Female,,No,Yes,College,1.0,Self-employed,60–100k,8992-VONJD
Female,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,0867-MKZVY
Female,0.0,No,No,Bachelor,2.0,Self-employed,>150k,4482-EWFMI
Male,0.0,No,No,College,1.0,Retired,100–150k,4648-YPBTM
Female,0.0,Yes,Yes,College,2.0,Employed,60–100k,2907-ILJBN
Male,0.0,Yes,No,College,2.0,Employed,60–100k,6345-FZOQH
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,3376-BMGFE
Male,0.0,Yes,No,College,3.0,Retired,100–150k,5997-OPVFA
Male,1.0,Yes,No,HighSchool,2.0,Retired,60–100k,3445-HXXGF
Female,0.0,Yes,Yes,College,3.0,Employed,60–100k,1159-WFSGR
Male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,7654-YWJUF
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,1875-QIVME
Male,0.0,Yes,No,College,2.0,Self-employed,100–150k,6727-IOTLZ
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,0691-JVSYA
Female,0.0,No,No,College,1.0,Self-employed,60–100k,5918-VUKWP
Female,0.0,Yes,No,College,2.0,Employed,60–100k,1744-JHKYS
Female,1.0,No,No,College,1.0,Retired,100–150k,2656-FMOKZ
Female,1.0,No,No,College,1.0,Retired,100–150k,2070-FNEXE
Female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,5947-SGKCL
Male,0.0,Yes,No,College,2.0,Self-employed,60–100k,3712-PKXZA
Female,0.0,No,No,College,1.0,Self-employed,60–100k,6317-YPKDH
Female,0.0,No,No,College,3.0,Employed,60–100k,6582-OIVSP
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,9367-WXLCH
Male,0.0,Yes,Yes,College,2.0,Self-employed,100–150k, 5524-KHNJP  
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,1918-ZBFQJ
Female,0.0,Yes,No,College,2.0,Self-employed,60–100k,1024-GUALD
Male,0.0,No,No,College,1.0,Self-employed,60–100k,4827-USJHP
Male,0.0,No,No,College,1.0,Employed,60–100k,8167-GJLRN
Female,0.0,No,No,College,1.0,Employed,60–100k,0956-SYCWG
,0.0,Yes,No,College,2.0,Self-employed,100–150k,8017-UVSZU
Male,0.0,,Yes,College,2.0,Retired,100–150k,7100-FQPRV
Male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,2472-OVKUP
Female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,2984-RGEYA
Female,0.0,Yes,Yes,Bachelor,7.0,Self-employed,>150k,9680-NIAUV
Male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,2146-EGVDT
Female,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,2604-IJPDU
male,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,9178-JHUVJ
Male,0.0,No,No,Bachelor,1.0,,>150k,6168-YBYNP
Male,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,7255-SSFBC
Male,0.0,No,Yes,College,1.0,Employed,60–100k,3645-DEYGF
female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,9323-HGFWY
 Female  ,0.0,No,No,Bachelor,1.0,Retired,>150k,8544-GOQSH
Male,0.0,Yes,Yes,pollege,2.0,,>150k,3363-DTIVD
Male,0.0,No,Yes,Bachelor,1.0,Retired,>150k,7018-WBJNK
Male,0.0,No,No,Bachelor,1.0, Self-employed  ,100–150k,9142-KZXOP
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,7674-YTAFD
,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,6348-SNFUS
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,1285-OKIPP
Female,0.0,No,No,Bachelor,3.0,Retired,>150k,7825-ECJRF
Male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,1347-KTTTA
Male,0.0,No,No,College,1.0,Self-employed,60–100k,7841-TZDMQ
Female,0.0,No,No,College,2.0,Employed, 60–100k  ,4195-NZGTA
Male,0.0,No,Yes,College,3.0,Employed,60–100k,7157-SMCFK
 Female  ,0.0,Yes,Yes,College,2.0,Employed,60–100k,4709-LKHYG
Male,1.0,Yes,No,College,2.0,Retired,100–150k,2504-DSHIH
Female,0.0,Yes,No,College,2.0,Self-employed,100–150k,0699-NDKJM
Male,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,9286-BHDQG
Male,0.0,Yes,No,College,2.0,Self-employed,100–150k,0230-WEQUW
Male,0.0,Yes,Yes,College,2.0,Retired,100–150k,2040-LDIWQ
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,6496-JDSSB
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,9408-SSNVZ
Female,0.0,Yes,No,College,3.0,Self-employed,60–100k,4443-EMBNA
Male,0.0,Yes,Yes,College,5.0,Self-employed,60–100k,6469-MRVET
Male,0.0,Yes,No,College,4.0,Self-employed,60–100k,0742-MOABM
Female,0.0,No,No,College,1.0,Self-employed,60–100k,5961-VUSRV
Male,0.0,No,No, College  ,1.0,Self-employed,,6778-JFCMK
Female,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,6341-JVQGF
Female,0.0,Yes,No,College,2.0,Self-employed,60–100k,2232-DMLXU
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,4811-JBUVU
Female,0.0,Yes,Yes,College,3.0,Retired,100–150k,0945-TSONX
Male,0.0,No,No,Bachelor,2.0,Retired,>150k,2651-ZCBXV
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,3316-UWXUY
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,8937-RDTHP
Female,0.0,No,No,College,2.0,Self-employed,60–100k,7083-MIOPC
Female,0.0,No,No,College,1.0,Employed,60–100k,1984-GPTEH
Male,0.0,No,No,College,1.0,Self-employed,60–100k,1251-KRREG
Female,0.0,No,No,College,1.0,Self-employed,60–100k,0621-JFHOL
Male,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,9903-LYSAB
Female,1.0,No,No,College,2.0,EmploBed,100–150k,0094-OIFMO
Male,0.0,No,No,College,1.0,Employed,60–100k,9227-UAQFT
Female,0.0,No,No,College,2.0,Self-employed, 100–150k  ,7301-ABVAD
,0.0,No,No,Bachelor,1.0,Self-employed,>150k,6614-FHDBO
Female,0.0,Yes,Yes,College,2.0,Retired,100–150k,7576-ASEJU
Female,1.0,Yes,No,College,2.0,Retired,100–150k,9058-HRZSV
FEMALE ,1.0,No,No,College,1.0,Retired,60–100k,4522-AKYLR
Male,1.0,No,No,College,1.0,Retired,100–150k,0221-WMXNQ
Male,0.0,No,No,College,2.0,Self-employed,100–150k,0303-UNCIP
Male,1.0,No,No,College,1.0,Retired,100–150k,9947-OTFQU
Male,0.0,No,No,College,1.0,Self-employed,60–100k,0322-YINQP
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,0959-WHOKV
Female,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,4075-JFPGR
Female,0.0,Yes,Yes,Bachelor,3.0,Self-employed,>150k,4629-NRXKX
Male,1.0,Yes,No,HighSchool,3.0,Retired,60–100k,9514-JDSKI
Male,0.0,No,Yes,,2.0,Self-employed,100–150k,3282-ZISZV
Male,0.0,No,No,College,2.0,Self-employed,60–100k,3675-YDUPJ
Female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,4111-BNXIF
Female,0.0,Yes,Yes,Bachelor,4.0,Retired,>150k,7017-VFHAY
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,6655-LHBYW
Female,0.0,Yes,No,College,3.0,Self-employed,60–100k,4959-JOSRX
Female,1.0,Yes,No,HighSchool,unknown,Retired,60–100k,5046-NUHWD
Male,1.0,No,No,HighSchool,1.0,Retired,60–100k,7273-TEFQD
Male,1.0,No,No,Bachelor,1.0,Retired,>150k,3606-TWKGI
Male,1.0,Yes,No,College,,Retired,100–150k,7529-ZDFXI
Female,0.0,No,No,College,1.0,Self-employed,60–100k,7605-BDWDC
Female,0.0,Yes,No,Bachelor,4.0,Self-employed,>150k,1950-KSVVJ
Female,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,0123-CRBRT
Male,0.0,No,No,College,2.0,Self-employed,60–100k,6292-TOSSS
Female,1.0,No,No,Bachelor,1.0,Retired,>150k,3197-ARFOY
Male,0.0,No,No,College,1.0,Employed,60–100k,6323-AYBRX
Female,0.0,Yes,No,College,3.0,Self-employed,60–100k,7014-ZZXAW
Female,1.0,No,No,College,1.0,Retired,100–150k,4385-GZQXV
Male,0.0,Yes,No,College,2.0,Self-employed,100–150k,7633-MVPUY
Male,0.0,No,No,College,2.0,Self-employed,60–100k,6366-ZGQGL
Male,1.0,Yes,No,Bachelor,3.0,Retired,>150k,4716-HHKQH
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,5940-AHUHD
Male,0.0,Yes,No,Bachelor,2.0,Self-employed,>150k,6432-TWQLB
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,4484-GLZOU
Male,1.0,Yes,No,College,2.0,Retired,60–100k,3179-GBRWV
Male,0.0,No,No,College,2.0,Self-employed,60–100k,8645-KWHJO
Female,0.0,No,No,College,2.0,Self-employed,60–100k,4130-MZLCC
Female,0.0,No,No,College,3.0,Self-employed,60–100k,0314-TKOSI
Female,0.0,No,No,College,1.0,Self-employed,60–100k,8229-MYEJZ
Female,0.0,No,Yes,College,2.0,Employed,60–100k,2080-SRCDE
Female,0.0,No,No,College,1.0,Self-employed,60–100k,9577-WJVCQ
Male,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,9512-UIBFX
FEMALE ,0.0,No,No,Bachelor,1.0,Retired,>150k,6202-DYYFX
Female,0.0,No,No,College,2.0,Self-employed,60–100k,3808-HFKDE
Male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,5583-SXDAG
Male,1.0,No,No,College,1.0,Retired,100–150k,3488-PGMQJ
Male,0.0,No,No,College,1.0,Self-employed,60–100k,3580-REOAC
Male,1.0,No,No,College,1.0,Retired,100–150k,7534-BFESC
Male,0.0,No,No,College,1.0,Self-employed,100–150k,3727-OWVYD
Male,0.0,Yes,Yes,Bachelor,4.0,Self-employed,>150k,2294-SALNE
Female,1.0,No,No,College,1.0,Retired,100–150k,4847-TAJYI
Female,0.0,No,No,College,1.0,Employed,60–100k,1563-IWQEX
Male,0.0,No,No,College,2.0,Employed,60–100k,8203-XJZRC
Female,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,6556-DBKZF
Male,1.0,Yes,No,Bachelor,2.0,Retired,>150k,6851-WEFYX
Male,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,2985-JUUBZ
Female,0.0,No,Yes,Bachelor,3.0,Self-employed,>150k,6390-DSAZX
Male,0.0,No,No,College,1.0,Retired,100–150k,0895-LMRSF
Female,1.0,No,No,College,1.0,,100–150k,8098-LLAZX
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,8266-VBFQL
Female,0.0,Yes,Yes,College,3.0, Self-employed  ,100–150k,8181-YHCMF
Male,0.0,No,Yes,Bachelor,3.0,Self-employed,>150k,2240-HSJQD
Male,0.0,Yes,Yes,College,3.0,Employed,60–100k,1248-DYXUB
Male,1.0,Yes,No,College,2.0,Retired,100–150k,0265-EDXBD
Male,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,4115-BNPJY
Male,1.0,Yes,Yes,Bachelor,2.0,Retired,>150k,3167-SNQPL
Male,0.0,No,Yes,Colleie,1.0,Retired,100–150k,4091-TVOCN
Female,0.0,No,No,College,1.0,Self-employed,60–100k,1098-TDVUQ
Female,0.0,oes,No,Bachelor,1.0,Self-employed,>150k,7277-OZCGZ
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,1557-EMYVT
Female,1.0,Yes,No,College,2.0,Retired,100–150k,2799-ARNLO
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,7563-BIUPC
Male,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,5027-YOCXN
Male,0.0,No,No,College,1.0,Self-employed,60–100k,3973-SKMLN
Female,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,2321-OMBXY
Male,1.0,Yes,No,College,2.0,Retired,100–150k,2840-XANRC
Male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,6745-JEFZB
Female,1.0,No,No,College,1.0,Retired,100–150k,5020-ZSTTY
Female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,9880-TDQAC
Male,0.0,No,YES ,College,1.0,Self-employed,60–100k,8705-WZCYL
Female,0.0,Yes,Yes,College,4.0,Employed,60–100k,7102-JJVTX
Male,0.0,No,No,College,1.0,Retired,100–150k,8626-PTQGE
Female,0.0,Yes,No,Bachelor,2.0,Retired,>150k,4983-CLMLV
Female,1.0,Yes,No,College,3.0,Retired,100–150k,5701-YVSVF
Female,1.0,No,No,College,1.0,Retired,100–150k,5804-LEPIM
Female,1.0,Yes,Yes,HighSchool,3.0,Retired,60–100k,5697-GOMBF
Female,1.0,No,No,College,1.0,Retired,100–150k,2739-CACDQ
Female,0.0,Yes,Yes,College,5.0,Self-employed,60–100k,9385-EHGDO
Female,0.0,No,No,College,1.0,Self-employed,60–100k,9498-FIMXL
FEMALE ,0.0,No,No,Bachelor,2.0,Retired,>150k,2379-GYFLQ
Female,0.0,No,No,Bachelor,2.0,Self-employed,>150k,0122-OAHPZ
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,2868-SNELZ
Male,0.0,,Yes,College,2.0,Retired,100–150k,4322-RCYMT
Female,0.0,No,No,Bachelor,2.0,Retired,>150k, 6680-NENYN  
Female,0.0,No,No,,1.0,Self-employed,100–150k,2088-IEBAU
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,7982-VCELR
Male,0.0,Yes,No,Bachelor,2.0,Retired,>150k,1343-EHPYB
Female,1.0,No,No,College,1.0,Retired,60–100k,6035-BXTTY
Female,0.0,Yes,No,College,3.0,Self-employed, 100–150k  ,6885-PKOAM
Female,0.0,Yes,Yes,College,4.0,Retired,100–150k,7520-HQWJU
Male,0.0,No,No,College,1.0,Employed,60–100k,9639-BUJXT
Female,0.0,No,Yes,College,2.0,Self-employed,60–100k,5924-SNGKP
Female,1.0,No,No,College,1.0,Retired, 100–150k  ,0021-IKXGC
Female,0.0,No,No,Bachelor,3.0,Self-employed,>150k,2034-GDRCN
Female,0.0,Yes,No,College,2.0,Self-employed,60–100k,8966-SNIZF
Female,0.0,No,No,College,1.0,Self-employed,60–100k,6243-OZGFH
Female,1.0,Yes,No,College,2.0,Retired,100–150k,4654-DLAMQ
Male,0.0,Yes,Yes,College,3.0,Retired,100–150k,0513-RBGPE
Male,0.0,No,Yes,College,1.0,Employed,60–100k,5160-UXJED
Female,1.0,No,No,College,1.0,Retired,100–150k,4115-NZRKS
Male,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,0219-YTZUE
Female,1.0,No,No,HighSchool,1.0,Retired,60–100k,0623-IIHUG
Female,0.0,No,No,Bachelor,3.0,Retired,>150k,4572-DVCGN
Female,1.0,No,No,College,3.0,Retired,60–100k,3351-NGXYI
