MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore,customerID
84.15,227.64,,2.0,9167-APMXZ
20.15,15.12,4,3.0,2749-CTKAJ
64.25,161.17,0,2.0,6371-NZYEG
25.7,77.99,0,3.0,7554-NEWDD
56.0,125.22,3,1.0,8992-VONJD
82.4,265.62,0,3.0,0867-MKZVY
69.7,267.34,4,3.0,4482-EWFMI
73.9,172.49,9,3.0,4648-YPBTM
20.6,36.82,0,2.0,2907-ILJBN
19.9,98.87,4,3.0,6345-FZOQH
70.9,256.38,6,2.0,3376-BMGFE
89.05,241.08,5,2.0,5997-OPVFA
45.3,128.11,3,3.0,UNK-a38dfccb
20.4,78.91,1,2.0,1159-WFSGR
84.25,270.83,6,3.0,nan
104.4,316.7,2,2.0,1875-QIVME
81.95,215.3,9,2.0,6727-IOTLZ
94.85,323.84,0,2.0,0691-JVSYA
20.55,23.32,0,3.0,5918-VUKWP
24.7,18.74,2,2.0,1744-JHKYS
74.45,237.65,0,2.0,2656-FMOKZ
76.45,141.7,0,2.0,2070-FNEXE
,359.14,2,1.0,5947-SGKCL
20.55,44.19,2,2.0,3712-PKXZA
29.95,149.15,4,ORPH-7e3eac54,6317-YPKDH
45.3,140.05,3,3.0,6582-OIVSP
84.5,285.8,0,2.0,9367-WXLCH
74.75,227.15,4,2.0,5524-KHNJP
79.25,195.99,0,2.0,1918-ZBFQJ
24.8,130.47,3,3.0,1024-GUALD
51.8,167.28,2,3.0,4827-USJHP
30.4,190.78,4,2.0,8167-GJLRN
19.65,116.7,1,3.0,0956-SYCWG
56.6,96.6,4,2.0,8017-UVSZU
71.9,209.34,0,,7100-FQPRV
91.0,260.24,2,2.0,2472-OVKUP
19.75,86.12,0,3.0,nan
109.7,373.73,3,1.0,9680-NIAUV
19.3,103.14,2,2.0,2146-EGVDT
96.55,329.27,7,2.0,2604-IJPDU
24.1,0.0,0,3.0,9178-JHUVJ
111.35,323.02,5,ORPH-01620df6,6168-YBYNP
112.25,363.8,0,2.0,7255-SSFBC
20.75,67.73,0,2.0,3645-DEYGF
101.9,333.94,3,2.0,9323-HGFWY
80.05,265.66,4,3.0,8544-GOQSH
105.55,273.36,3,2.0,3363-DTIVD
78.3,311.6,0,2.0,7018-WBJNK
68.85,256.97,0,2.0,9142-KZXOP
79.95,296.64,6,3.0,7674-YTAFD
55.45,137.4,3,3.0,6348-SNFUS
79.9,281.29,0,1.0,1285-OKIPP
106.6,,2,2.0,7825-ECJRF
102.45,367.42,0,2.0,1347-KTTTA
46.0,37.04,1,3.0,7841-TZDMQ
25.25,121.89,5,3.0,4195-NZGTA
19.75,8.52,0,3.0,7157-SMCFK
20.0,0.0,0,3.0,4709-LKHYG
86.8,269.48,6,2.0,2504-DSHIH
58.75,182.73,4,,0699-NDKJM
45.25,134.72,4,4.0,9286-BHDQG
56.6,181.81,6,2.0,0230-WEQUW
84.2,249.8,8,3.0,2040-LDIWQ
80.0,311.33,5,3.0,6496-JDSSB
,245.35,5,2.0,9408-SSNVZ
24.75,0.0,3,3.0,4443-EMBNA
20.2,57.83,4,3.0,6469-MRVET
50.05,172.53,0,3.0,0742-MOABM
19.35,0.0,5,ORPH-a9210941,5961-VUSRV
50.6,232.72,4,3.0,6778-JFCMK
81.15,184.16,5,3.0,6341-JVQGF
55.2,192.26,2,2.0,2232-DMLXU
89.9,298.67,0,3.0,4811-JBUVU
85.3,268.62,10,3.0,0945-TSONX
108.0,351.31,6,2.0,2651-ZCBXV
93.5,317.47,0,3.0,3316-UWXUY
84.6,304.73,3,2.0,8937-RDTHP
20.25,42.1,3,3.0,7083-MIOPC
25.15,26.21,3,—,1984-GPTEH
54.4,63.39,8,3.0,1251-KRREG
29.6,114.28,0,2.0,0621-JFHOL
73.15,256.99,0,2.0,9903-LYSAB
95.0,305.66,7,1.0,0094-OIFMO
19.75,0.0,0,3.0,9227-UAQFT
86.6,226.56,7,,7301-ABVAD
109.2,357.55,0,3.0,6614-FHDBO
74.7,194.17,7,2.0,7576-ASEJU
94.4,175.48,5,3.0,9058-HRZSV
54.8,98.25,0,2.0,4522-AKYLR
75.35,170.82,2,2.0,0221-WMXNQ
65.0,199.4,2,2.0,0303-UNCIP
74.4,178.49,0,2.0,9947-OTFQU
48.55,128.63,1,ORPH-985fb0d1,0322-YINQP
99.0,288.83,4,2.0,0959-WHOKV
93.5,327.63,4,1.0,4075-JFPGR
70.4,271.79,2,ORPH-0ab631d8,4629-NRXKX
40.2,107.6,1,2.0,9514-JDSKI
83.7,232.31,7,2.0,3282-ZISZV
19.85,41.31,0,2.0,3675-YDUPJ
59.55,168.66,5,2.0,4111-BNXIF
115.1,352.95,0,2.0,7017-VFHAY
114.35,366.73,2,2.0,6655-LHBYW
44.6,92.81,5,2.0,4959-JOSRX
45.0,147.34,4,3.0,5046-NUHWD
41.15,129.87,0,1.0,7273-TEFQD
106.9,240.8,7,ORPH-286a7b79,3606-TWKGI
89.85,221.09,5,3.0,7529-ZDFXI
49.85,163.81,2,3.0,7605-BDWDC
113.3,314.24,3,ORPH-10776253,1950-KSVVJ
88.1,191.71,8,1.0,0123-CRBRT
24.9,15.18,2,3.0,6292-TOSSS
105.0,280.27,7,ORPH-c0f280be,3197-ARFOY
19.35,60.99,3,3.0,6323-AYBRX
24.25,19.49,0,3.0,7014-ZZXAW
94.45,253.09,0,2.0,4385-GZQXV
59.75,98.7,4,3.0,7633-MVPUY
24.8,104.92,2,2.0,6366-ZGQGL
0.0,281.9,7,2.0,4716-HHKQH
70.6,266.32,3,2.0,5940-AHUHD
85.4,269.62,0,3.0,6432-TWQLB
105.05,375.29,3,2.0,4484-GLZOU
64.95,152.11,0,2.0,3179-GBRWV
55.0,181.15,7,ORPH-3efcd2a1,8645-KWHJO
50.55,151.41,3,2.0,4130-MZLCC
55.15,178.79,3,2.0,0314-TKOSI
51.2,147.0,2,2.0,8229-MYEJZ
25.4,50.54,1,2.0,2080-SRCDE
54.45,148.53,4,2.0,9577-WJVCQ
95.15,348.55,0,2.0,9512-UIBFX
76.0,320.07,1,3.0,6202-DYYFX
44.35,138.67,0,2.0,3808-HFKDE
70.0,199.25,0,3.0,5583-SXDAG
74.5,196.23,0,2.0,3488-PGMQJ
44.85,49.13,5,2.0,3580-REOAC
76.1,229.16,0,1.0,7534-BFESC
61.2,129.22,2,3.0,3727-OWVYD
86.8,280.73,3,ORPH-8986f6f1,2294-SALNE
89.35,280.72,6,2.0,UNK-264c29ab
19.7,12.98,,3.0,1563-IWQEX
20.25,58.49,2,3.0,8203-XJZRC
76.05,210.9,2,2.0,6556-DBKZF
100.8,219.85,1,ORPH-a9713907,6851-WEFYX
74.55,189.4,4,3.0,2985-JUUBZ
73.6,241.98,6,2.0,6390-DSAZX
64.9,243.96,0,2.0,0895-LMRSF
95.45,250.82,0,1.0,8098-LLAZX
90.4,301.17,5,3.0,8266-VBFQL
60.3,169.02,0,3.0,8181-YHCMF
81.85,248.57,3,1.0,2240-HSJQD
24.8,1.75,0,3.0,1248-DYXUB
74.9,229.1,1,3.0,0265-EDXBD
75.55,244.82,0,3.0,4115-BNPJY
101.15,280.41,0,2.0,3167-SNQPL
78.75,221.18,1,1.0,4091-TVOCN
19.25,10.54,0,2.0,1098-TDVUQ
89.05,309.46,4,2.0,7277-OZCGZ
115.05,377.09,0,2.0,1557-EMYVT
69.35,222.9,0,1.0,2799-ARNLO
80.6,237.39,6,2.0,7563-BIUPC
110.05,388.9,2,2.0,5027-YOCXN
19.9,0.0,5,3.0,3973-SKMLN
80.3,257.08,7,2.0,2321-OMBXY
93.15,287.87,0,ORPH-099e0708,2840-XANRC
91.5,327.96,6,2.0,6745-JEFZB
82.45,185.41,7,UNK-1de8d7f4,5020-ZSTTY
60.0,233.78,0,ORPH-b1e79138,9880-TDQAC
44.8,109.63,0,3.0,8705-WZCYL
48.6,90.53,4,-1.814185671889828,7102-JJVTX
60.05,254.19,7,3.0,8626-PTQGE
102.7,314.2,2,2.0,UNK-ba086208
82.9,262.85,7,3.0,nan
70.35,236.27,0,2.0,5804-LEPIM
35.9,84.0,0,2.0,5697-GOMBF
82.65,176.85,6,2.0,2739-CACDQ
19.85,0.0,1,3.0,9385-EHGDO
19.2,48.87,4,4.0,9498-FIMXL
94.9,335.29,2,3.0,2379-GYFLQ
73.85,300.27,0,2.0,0122-OAHPZ
80.6,228.93,3,1.0,2868-SNELZ
75.8,198.87,5,3.0,4322-RCYMT
104.6,413.42,3,2.0,6680-NENYN
88.15,264.31,4,3.0,2088-IEBAU
94.8,353.59,5,2.0,7982-VCELR
103.4,334.56,0,1.0,1343-EHPYB
54.65,84.44,0,3.0,6035-BXTTY
85.75,229.18,11,2.0,6885-PKOAM
67.45,153.05,2,2.0,7520-HQWJU
20.5,,3,3.0,9639-BUJXT
20.25,32.09,2,3.0,5924-SNGKP
72.1,215.54,5,3.0,0021-IKXGC
90.4,289.87,0,1.0,2034-GDRCN
19.45,0.0,4,2.0,8966-SNIZF
44.95,241.38,0,2.0,6243-OZGFH
97.0,269.92,3,ORPH-09977cf1,4654-DLAMQ
62.8,115.52,4,3.0,0513-RBGPE
44.6,,4,2.0,5160-UXJED
89.15,251.5,3,2.0,4115-NZRKS
84.8,254.64,4,3.0,0219-YTZUE
41.9,137.29,0,2.0,0623-IIHUG
80.25,256.43,0,2.0,4572-DVCGN
54.1,148.63,0,2.0,3351-NGXYI
105.25,329.2,2,3.0,8984-EYLLL
30.75,90.03,1,3.0,9057-MSWCO
97.1,322.17,4,2.0,9833-TGFHX
20.2,0.0,1,2.0,9294-TDIPC
98.8,334.02,3,3.0,5229-DTFYB
50.3,84.06,0,2.0,0104-PPXDV
20.55,65.72,,4.0,5176-LMJXE
75.9,216.08,0,3.0,3583-KRKMD
96.5,357.75,0,3.0,1010-DIAUQ
59.95,155.37,0,3.0,9069-LGEUL
19.15,0.0,0,2.0,7302-ZHMHP
98.65,357.01,0,3.0,9571-EDEBV
112.6,353.03,7,3.0,3520-FJGCV
20.6,99.35,7,2.0,6563-VRERX
85.65,241.51,4,2.0,nan
35.75,94.97,4,3.0,6122-EFVKN
99.75,305.76,0,2.0,2805-EDJPQ
96.1,277.22,3,2.0,6862-CQUMB
85.1,193.28,10,3.0,7156-MXBJE
25.35,85.06,2,2.0,6158-HDPXZ
104.95,380.6,6,1.0,9601-BRXPO
89.65,162.26,5,2.0,nan
86.75,218.15,6,3.0,5686-CMAWK
86.2,254.23,3,2.0,5651-CRHKQ
50.65,90.11,3,1.0,6905-NIQIN
64.8,115.09,,2.0,8204-YJCLA
90.85,234.31,0,2.0,5167-ZFFMM
108.1,386.16,5,1.0,6583-SZVGP
19.95,0.0,1,3.0,4895-TMWIR
85.45,206.59,4,2.0,0533-BNWKF
54.75,196.66,3,3.0,1708-PBBOA
90.4,296.32,0,2.0,8782-LKFPK
44.0,95.4,5,2.0,5522-JBWMO
95.6,254.02,4,2.0,3597-MVHJT
84.8,141.92,0,2.0,9774-NRNAU
44.3,129.27,4,2.0,0224-RLWWD
19.9,53.81,0,3.0,9967-ATRFS
95.05,284.12,2,2.0,UNK-ac714a5b
90.05,227.92,5,3.0,2977-CEBSX
109.9,286.41,,3.0,0177-PXBAT
73.95,294.91,1,3.0,nan
54.6,122.11,0,4.0,2519-ERQOJ
20.05,0.0,0,3.0,5876-QMYLD
19.75,32.76,0,3.0,2277-AXSDC
20.05,82.88,0,2.0,9442-JTWDL
99.45,346.17,5,2.0,0979-PHULV
55.9,66.69,2,3.0,3067-SVMTC
19.7,8.08,5,2.0,5495-GPSRW
19.8,0.0,0,3.0,7606-BPHHN
95.4,228.95,2,3.0,4742-DRORA
93.95,237.57,7,2.0,0111-KLBQG
19.9,0.0,6,3.0,4800-VHZKI
19.6,90.23,1,3.0,7989-CHGTL
81.35,190.53,0,2.0,UNK-16bd6719
24.45,0.0,1,4.0,4163-NCJAK
74.95,233.18,1,3.0,5233-AOZUF
87.35,318.02,5,4.0,5973-EJGDP
70.65,229.06,0,2.0,1996-DBMUS
73.25,243.32,0,2.0,7916-VCCPB
98.7,277.74,7,3.0,UNK-9437d621
24.8,0.0,0,2.0,5249-QYHEX
83.3,345.33,4,2.0,0578-SKVMF
75.3,186.28,0,2.0,5564-NEMQO
24.3,0.0,0,2.0,2233-FAGXV
69.85,227.25,6,3.0,5605-IYGFG
100.55,288.69,5,3.0,7663-ZTEGJ
25.7,83.62,0,3.0,3935-TBRZZ
40.7,126.61,4,3.0,8111-BKVDS
51.65,96.01,4,3.0,2055-SIFSS
105.1,214.36,0,2.0,2806-MLNTI
85.95,303.85,1,3.0,8734-DKSTZ
75.6,314.79,1,3.0,4360-PNRQB
58.25,153.2,5,3.0,6152-ONASV
19.4,0.0,0,2.0,9063-ZGTUY
65.2,232.13,5,2.0,7781-HVGMK
53.45,121.24,4,2.0,2181-UAESM
45.4,138.39,1,3.0,2957-LOLHO
19.75,11.0,4,2.0,6048-NJXHX
44.45,183.44,6,3.0,2320-SLKMB
0.0,50.71,3,2.0,4980-URKXC
114.05,323.82,,ORPH-7900ab96,4376-KFVRS
89.85,278.53,6,2.0,5886-VLQVU
55.05,108.73,0,2.0,3577-AMVUX
112.95,293.7,0,2.0,0771-WLCLA
101.55,280.25,0,2.0,nan
114.65,289.32,9,3.0,0206-TBWLC
64.8,191.89,5,1.0,2937-FTHUR
80.4,277.33,2,2.0,1910-FMXJM
105.9,284.73,0,2.0,7752-XUSCI
69.55,248.23,,2.0,4110-PFEUZ
25.05,68.1,5,2.0,0732-OCQOC
94.75,359.81,2,1.0,5168-MSWXT
105.5,326.88,6,2.0,1090-ESELR
24.7,0.0,0,3.0,8592-PLTMQ
69.75,96.45,8,3.0,5760-WRAHC
60.2,249.27,0,3.0,8847-GEOOQ
81.05,235.08,2,1.0,0256-LTHVJ
24.4,94.97,0,3.0,4785-FCIFB
104.15,346.72,6,3.0,8313-NDOIA
92.9,308.64,1,ORPH-5fdcd269,5149-CUZUJ
80.8,229.36,6,3.0,0942-KOWSM
20.0,0.0,0,3.0,4237-CLSMM
75.1,236.84,4,3.0,1452-VOQCH
19.65,0.0,3,2.0,4719-UMSIY
69.45,172.09,0,2.0,6614-VBEGU
101.15,367.14,0,ORPH-7e22d429,0880-TKATG
99.8,281.07,4,2.0,3811-VBYBZ
116.05,300.61,0,UNK-a392960d,1480-BKXGA
40.05,112.44,6,3.0,2996-XAUVF
102.1,205.94,4,1.0,9076-AXYIK
89.7,283.22,9,1.0,5968-XQIVE
19.9,0.0,1,3.0,8896-RAZCR
55.95,135.87,2,3.0,4640-UHDOS
20.65,14.15,0,3.0,4933-IKULF
55.0,114.32,4,4.0,3583-EKAPL
70.05,150.4,3,2.0,1304-BCCFO
53.6,135.76,5,3.0,4104-PVRPS
74.7,248.94,6,2.0,9399-APLBT
80.25,254.6,3,3.0,2359-KMGLI
76.05,149.7,0,3.0,3780-DDGSE
75.7,197.3,6,2.0,4431-EDMIQ
96.1,368.44,0,2.0,0306-JAELE
69.0,288.0,5,2.0,6227-HWPWX
19.65,0.0,3,2.0,0486-LGCCH
45.3,158.57,6,3.0,0447-BEMNG
81.45,215.1,2,2.0,4612-SSVHJ
108.5,284.97,3,2.0,5168-MQQCA
83.55,296.46,7,2.0,5949-XIKAE
84.5,244.32,6,3.0,7971-HLVXI
100.15,371.57,1,2.0,9094-AZPHK
88.6,259.29,0,3.0,3649-JPUGY
52.55,112.0,3,2.0,4472-LVYGI
74.35,241.75,2,2.0,8372-JUXUI
104.8,352.18,6,2.0,3552-CTCYF
59.0,123.03,,3.0,6778-YSNIH
74.4,274.65,4,2.0,0388-EOPEX
64.05,166.59,8,3.0,5756-OZRIO
20.4,45.06,2,3.0,6579-JPICP
43.75,189.22,,3.0,8205-OTCHB
60.9,128.29,4,3.0,4134-BSXLX
19.8,66.77,0,4.0,0505-SPOOW
28.45,78.29,2,2.0,6235-VDHOM
99.7,288.14,1,1.0,7783-YKGDV
116.25,342.06,8,1.0,4374-YMUSQ
80.7,216.3,3,1.0,4513-CXYIX
65.2,194.83,1,2.0,3957-HHLMR
84.05,301.47,3,3.0,7803-XOCCZ
79.45,178.04,7,2.0,5736-YEJAX
94.1,239.84,5,1.0,5609-CEBID
78.0,296.5,4,2.0,8981-FJGLA
94.2,349.99,5,2.0,7218-HKQFK
80.5,286.37,0,3.0,4636-QRJKY
19.85,0.0,2,3.0,1135-LMECX
94.3,191.85,7,2.0,4332-MUOEZ
106.45,350.92,4,1.0,8535-SFUTN
74.35,197.53,0,2.0,5956-VKDTT
105.45,328.17,6,2.0,8677-HDZEE
95.0,251.26,7,2.0,2475-MROZF
104.8,379.67,0,3.0,9412-GHEEC
54.3,134.92,2,2.0,3482-ABPKK
70.05,220.86,0,1.0,6705-LXORM
75.2,226.23,2,2.0,0257-ZESQC
20.05,28.29,0,2.0,7531-GQHME
105.4,375.92,7,1.0,5174-ITUMV
51.6,102.93,2,3.0,4109-CYRBD
85.5,290.12,4,1.0,0913-XWSCN
75.6,269.82,4,3.0,UNK-a1cbb638
100.05,342.47,4,2.0,8397-MVTAZ
91.25,325.4,3,2.0,0750-EBAIU
115.75,307.69,0,2.0,8606-CIQUL
94.7,268.86,0,2.0,3571-DPYUH
19.6,47.2,3,3.0,7601-GNDYK
99.9,149.38,0,2.0,0356-OBMAC
21.1,0.0,0,3.0,8067-NIOYM
20.05,0.0,1,4.0,1403-GYAFU
79.95,350.79,1,1.0,4234-XTNEA
107.15,260.19,3,2.0,1297-VQDRP
85.0,366.18,0,2.0,nan
89.55,268.75,3,3.0,5348-CAGXB
81.55,289.48,2,3.0,0621-HJWXJ
58.45,172.52,2,2.0,5844-QVTAT
95.65,269.92,1,3.0,8905-IAZPF
80.6,226.35,7,3.0,5394-MEITZ
113.1,337.71,6,2.0,6859-QNXIQ
58.95,211.02,2,1.0,2782-LFZVW
19.55,0.0,4,2.0,2866-IKBTM
86.05,253.75,6,ORPH-70ee4345,1342-JPNKI
45.55,164.69,4,3.0,2817-NTQDO
,,4,4.0,7129-AZJDE
86.3,305.82,4,2.0,6986-IJDHX
105.05,335.98,2,2.0,2560-PPCHE
101.9,215.61,0,1.0,4676-MQUEA
19.75,16.73,0,2.0,8138-EALND
110.3,326.06,3,2.0,3580-HYCSP
115.6,364.13,4,UNK-7065297a,1352-HNSAW
19.35,63.46,0,4.0,2075-PUEPR
25.6,75.56,0,3.0,1982-FEBTD
80.35,287.2,4,2.0,5301-GAUUY
68.75,213.84,,2.0,5791-KAJFD
19.9,32.16,,3.0,2654-VBVPB
70.6,131.44,8,3.0,1154-HYWWO
70.2,193.98,4,2.0,2501-XWWTZ
49.3,94.46,5,3.0,3716-UVSPD
107.25,317.87,3,3.0,6815-ABQFQ
23.6,0.0,0,3.0,7343-EOBEU
69.7,170.11,3,1.0,3701-SFMUH
99.5,323.97,0,2.0,6103-LIANB
64.3,114.98,0,3.0,7319-VENRZ
70.85,233.09,7,2.0,5846-NEQVZ
101.9,367.44,4,,6967-QIQRV
73.5,105.42,6,2.0,5781-RFZRP
100.25,360.97,5,1.0,0939-YAPAF
40.4,118.89,7,3.0,0308-IVGOK
19.25,0.0,4,4.0,7293-LSCDV
59.6,92.55,6,2.0,7025-WCBNE
64.9,166.93,0,3.0,5756-JYOJT
100.3,255.18,3,2.0,4710-FDUIZ
110.85,216.5,7,1.0,6030-REHUX
81.05,257.06,8,3.0,9548-LIGTA
98.05,314.53,0,2.0,5150-LJNSR
70.5,287.75,0,2.0,8270-RKSAP
94.55,273.14,4,2.0,6522-YRBXD
19.65,14.9,0,3.0,2640-LYMOV
19.0,21.68,1,3.0,1218-VKFPE
75.3,241.95,4,3.0,3627-FHKBK
89.2,248.14,0,1.0,2865-TCHJW
19.0,57.26,0,ORPH-8d3c3066,1423-BMPBQ
20.0,11.33,2,3.0,2393-DIVAI
85.7,228.23,0,,5192-EBGOV
63.25,194.38,5,3.0,4568-KNYWR
20.1,3.02,4,3.0,8752-IMQOS
99.15,298.6,1,2.0,0742-LAFQK
90.4,249.41,5,2.0,0795-LAFGP
111.9,324.43,5,2.0,0619-OLYUR
24.9,28.13,0,3.0,5512-IDZEI
83.5,243.44,2,2.0,0459-SPZHJ
84.3,255.39,3,2.0,0215-BQKGS
45.6,158.38,1,3.0,9244-ZVAPM
61.65,161.97,4,3.0,0719-SYFRB
54.85,180.76,5,2.0,8208-EUMTE
65.55,207.05,5,1.0,5172-MIGPM
90.35,304.59,0,2.0,1710-RCXUS
20.4,10.52,5,3.0,0374-FIUCA
