PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,customerID
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,7410-OIEDU
Yes,No,DSL,No, No  ,No,Yes,No,No,Yes,No,Yes,No,2273-QCKXA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,0731-EBJQB
Yes,Yes,Fiber optic,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,8028-PNXHQ
Yes,No,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,5630-AHZIL
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2673-CXQEU
Yes,no phone service,DSL,No,No,No,No,No,Yes,No,Yes,Yes,Yes,6416-JNVRK
Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,5590-ZSKRV
Yes,No,DSL,Yes,Yes,,No,Yes,Yes,Yes,No,No,No,0191-ZHSKZ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,3887-PBQAO
Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Yes,Yes,No,5919-TMRGD
No,No phone service,DSL,Yes,no internet service,No,No,Yes,Yes,No,No,No,No,8108-UXRQN
Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,9191-MYQKX
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9919-YLNNG
No,No,No,No internet service,No internet service,No internet service,No internet service, No internet service  ,No internet service,No,No,Yes,No,0318-ZOPWS
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,4445-ZJNMU
Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,4808-YNLEU
Yes,No,No,No internet service,No internet service,YeB,No internet service,No internet service,No internet service,No,Yes,Yes,No, 1862-QRWPE  
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,2796-NNUFI
No,No phone service,DSL,No,No,No,No,Yes,No,Yes,No,No,Yes,3016-KSVCP
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,4767-HZZHQ
Yes,No,Fiber optic, No  ,No,No,Yes,No,No,No,Yes,No,Yes,2424-WVHPL
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,ORPH-a5f13323
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,6067-NGCEU
Yes,Yes,Fiber optic,No,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,9848-JQJTX
Yes,Yes,Fiber optic,Yes,No, No  ,No,No,No,Yes,Yes,Yes,No,8637-XJIVR
Yes,Yes,DSL,NO ,Yes,No,Yes,No,No,No,No,Yes,No,9803-FTJCG
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,no internet service,Yes,No,Yes,No,0278-YXOOG
 Yes  ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3212-KXOCR
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4598-XLKNJ
Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,No,No,No,No,6380-ARCEH
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,3679-XASPY
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,7123-WQUHX
No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,5386-THSLQ
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3192-NQECA
No,No phone service,DSL,No,No,No,No,No,No,No,,No,No,6180-YBIQI
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,6728-DKUCO
No,No phone service,DSL,Yes,No,No,No,No,No,No,No,Yes,Yes,9750-BOOHV
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,8597-CWYHH
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,2848-YXSMW
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,0486-HECZI
Yes,No,DSL,Yes, No  ,Yes,Yes,No,No,Yes,No,No,Yes,4549-ZDQYY
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5712-AHQNN
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,No,4846-WHAFZ
No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5256-SKJGO
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3071-VBYPO
No,No phone service,DSL,Yes,No,No,No,No,No,Yes,No,Yes,No,9560-BBZXK
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,5299-RULOA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8402-OOOHJ
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes, 9445-ZUEQE  
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1091-SOZGA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,2928-HLDBA
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,0404-SWRVG
Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,Yes,No,6497-TILVL
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,7219-TLZHO
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Yes,,Yes,4622-YNKIJ
Yes,Yes,Fiber optic,No,No,Yes,No,No, No  ,No,No,No,No,4412-YLTKF
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,6734-PSBAW
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,No,No,No,No,3930-ZGWVE
,No phone service, DSL  ,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,2639-UGMAZ
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Yes,Yes,Yes,2876-GZYZC
No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,6207-WIOLX
Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,No,Yes,8587-XYZSF
No,No phone service,DSL,No,No,,No,No,Yes,No,No,Yes,No,3091-FYHKI
Yes,No,DSL,No,No,No,No,No,No,No,Yes,Yys,Yes,2372-HWUHI
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,7799-LGRDP
Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,No,No,Yes,7850-VWJUU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,3774-VBNXY
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,6217-KDYWC
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,Yes,0390-DCFDQ
,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3146-MSEGF
Yes,Yes,DSL,Yes,No, No  ,Yes,No,Yes,Yes,Yes,Yes,Yes,4080-OGPJL
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1095-WGNGG
Yes,YeV,Fiber optic,Yes,Yes,No,No,No,No,No,Yes,No,No,2636-SJDOU
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service, No  ,No,Yes,No,ORPH-819cd490
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5716-EZXZN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,6837-BJYDQ
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,No,
Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,6440-DKQGE
Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Yes,bes,No,Yes,3466-BYAVD
Yes,No,DSL,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,3780-YVMFA
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,3874-EQOEP
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,1679-JRFBR
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9073-ZZIAY
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,3077-RSNTJ
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,No,6551-GNYDG
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,No,Yes,Yes,9167-APMXZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,2749-CTKAJ
Yes,No,DSL,Yes,No,Yes,No,Yes,No,Yes,,Yes,No,6371-NZYEG
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,7554-NEWDD
Yes,No,No,Yes,Yes,No,No,Yos,no internet service,Yes,Yes,No,Yes,ORPH-3960c476
Yes,Yes,Fiber optic,Yes,No,No,No, No  ,No,Yes,yes,Yes,Yes,0867-MKZVY
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,4482-EWFMI
Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,2907-ILJBN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,6345-FZOQH
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,3376-BMGFE
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,5997-OPVFA
No,No phone service,DSL,No,Yes,Yes,No,No,Yes,No,No,No,No,3445-HXXGF
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service, No internet service  ,No,Yes,Yes,Yes,1159-WFSGR
Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,7654-YWJUF
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1875-QIVME
Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6727-IOTLZ
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,0691-JVSYA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,5918-VUKWP
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,1744-JHKYS
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,2656-FMOKZ
Yes,No,Fiber optic,Yes,No,No,No,No,No,No,No,No,Yes,2070-FNEXE
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,5947-SGKCL
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,3712-PKXZA
No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,No,Yes,6317-YPKDH
Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,Yes,Yes,6582-OIVSP
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,No,No,No,9367-WXLCH
Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,5524-KHNJP
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,No,Yes,Yes,1918-ZBFQJ
No,No phone service,DSL,No,No,No,No,No,No,No,Yes,No,No,1024-GUALD
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,4827-USJHP
No,No phone service,DSL,NO ,No,No,Yes,No,No,No,Yes,No,Yes,8167-GJLRN
Yes,No,No,No internet service,No internet service,No internet service,No internet service, No internet service  ,No internet service,No,Yes,Yes,Yes,0956-SYCWG
Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,No,Yes,Yes,8017-UVSZU
Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,UNK-2032d46b
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,No,No,Yes,No,2472-OVKUP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,2984-RGEYA
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9680-NIAUV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,2146-EGVDT
Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,2604-IJPDU
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,9178-JHUVJ
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6168-YBYNP
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,YES ,Yes,7255-SSFBC
Yes,No,No,No internet service,no,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,3645-DEYGF
Yes,No,Fiber optic,Yes,no,No,Yes,YES ,Yes,Yes,Yes,Yes,No,9323-HGFWY
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,8544-GOQSH
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,3363-DTIVD
Yes,No,Fiber optic,No,No,No, No  ,Yes,No,No,Yes,Yes,No,7018-WBJNK
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No, No  ,No,9142-KZXOP
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,7674-YTAFD
No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,6348-SNFUS
Yes,No,Fiber optic,No,No,No,No,No,no internet service,No,Yes,,Yes,1285-OKIPP
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,7825-ECJRF
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1347-KTTTA
Yes,No,DSL,No,No,No,No,No,No,Yes,No,Yes,Yes,7841-TZDMQ
No,No phone service,DSL,No,No,No,No,No,No,Yes,No,No,No,4195-NZGTA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,ORPH-0f453653
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,4709-LKHYG
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,Yes,2504-DSHIH
No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yeo,0699-NDKJM
No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,9286-BHDQG
No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,0230-WEQUW
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ORPH-517ba312
Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,6496-JDSSB
Yes,No,Fiber optic,No,No,No,No,No,No,No,Yes,No,Yes,9408-SSNVZ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,4443-EMBNA
Yes,No,No,No internet service,No internet service,No internet service,YeT,No internet service,No internet service,No,Yes,Yes,No,6469-MRVET
Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,No,Yes,0742-MOABM
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,5961-VUSRV
No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6778-JFCMK
Yes,No, DSL  ,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6341-JVQGF
Yes,No, DSL  ,No,No,No,No,Yes,No,Yes,Yes,Yes,No,ORPH-f1feb921
Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,4811-JBUVU
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,0945-TSONX
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2651-ZCBXV
Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3316-UWXUY
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,No,No,8937-RDTHP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,7083-MIOPC
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,1984-GPTEH
Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,No,Yes,1251-KRREG
,No phone service,DSL,No,No,No,Yes,No,No,Yes,yes,No,Yes,0621-JFHOL
Yes,Yes,Fiber optic,No,No,No,No,No,No,No, Yes  ,Yes,,9903-LYSAB
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0094-OIFMO
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,9227-UAQFT
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7301-ABVAD
Yes,Yes,Fiber optic,No,Yes,,Yes,Yes,,Yes,Yes,No,Yes,6614-FHDBO
Yes,No,DSL,NO ,No,No,Yes,Yes,Yes,No,Yes,No,Yes,7576-ASEJU
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,,No,No,Yes,Yes,9058-HRZSV
Yes,No,DSL,No,Yes,Yes,No,No,No,Yes,No,No,No,4522-AKYLR
Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,No,No,Yes,0221-WMXNQ
 Yes  ,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,0303-UNCIP
Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,No,Yes,Yes,9947-OTFQU
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,0322-YINQP
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,0959-WHOKV
Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,4075-JFPGR
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,No,4629-NRXKX
No,No phone service,DSL,No,Yes,No,No,Yes,No,Yes,No,No,No,9514-JDSKI
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No, Yes  ,No,No,3282-ZISZV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,3675-YDUPJ
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes, Yes  ,No,No,Yes,4111-BNXIF
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7017-VFHAY
