tenure,MonthlyCharges,TotalCharges,AverageDataUsage,LatePaymentCount,AppLoginFrequency,CustomerSatisfactionScore,customerID
72.0,107.5,7853.7,362.3780536967997,0.0,3.0,3.0,5954-BDFSG
47.0,100.5,,375.3853996385498,0.0,0.0,2.0,0434-CSFON
60.0,89.9,5450.7,336.93247883605693,0.0,5.0,2.0,1215-FIGMP
72.0,42.1,2962,130.40766700990662,1.0,3.0,2.0,0526-SXDJP
18.0,54.4,957.1,132.87851337742106,0.0,7.0,3.0,0557-ASKVU
9.0,94.4,857.25,353.29664423074604,0.0,2.0,2.0,5698-BQJOH
3.0,75.3,244.1,236.04758438334684,0.0,0.0,2.0,5122-CYFXA
47.0,78.9,3650.35,266.1074629553383,0.0,2.0,2.0,8627-ZYGSZ
31.0,79.2,2497.2,277.76141174959474,1.0,7.0,UNK-d5e9de5d,
50.0,20.15,930.9,0.0,0.0,0.0,3.0,3170-NMYVV
10.0,79.85,887.35,247.20841656483253,0.0,,1.0,7410-OIEDU
1.0,49.05,49.05,65.92122847409031,0.0,4.0,2.0,2273-QCKXA
52.0,20.4,1090.65,36.33632580910698,0.0,4.0,3.0,0731-EBJQB
64.0,111.6,7099,277.09729160345995,0.0,4.0,2.0,1891-QRQSA
62.0,24.25,1424.6,5.392353315628582,0.0,0.0,3.0,8028-PNXHQ
3.0,64.5,177.4,185.84881787267364,0.0,2.0,3.0,5630-AHZIL
56.0,110.5,6139.5,237.0353940158373,0.0,3.0,1.0, 2673-CXQEU  
46.0,55.65,2688.85,173.49898577425833,0.0,6.0,1.0,6416-JNVRK
8.0,54.65,482.25,86.2635976701526,1.0,1.0,3.0,5590-ZSKRV
30.0,74.75,2111.3,168.7272750353411,1.0,0.0,2.0,0191-ZHSKZ
45.0,25.9,1216.6,46.19772721977991,0.0,0.0,3.0,3887-PBQAO
1.0,79.35,79.35,312.7959720086164,0.0,1.0,1.0,5919-TMRGD
11.0,50.55,565.35,200.8771576219576,0.0,6.0,1.0,8108-UXRQN
7.0,75.15,496.9,253.68861307596688,1.0,0.0,2.0,9191-MYQKX
42.0,103.8,4327.5,355.7807068878579,0.0,1.0,3.0,9919-YLNNG
49.0,20.15,973.35,0.0,0.0,5.0,2.0,0318-ZOPWS
9.0,99.3,918.75,374.1877092681394,0.0,3.0,2.0,4445-ZJNMU
35.0,62.15,2215.45,174.78784464027729,0.0,4.0,3.0,4808-YNLEU
48.0,20.65,1057,73.34864979570553,0.0,0.0,3.0,1862-QRWPE
46.0,19.95,927.1,31.140922625950516,0.0,0.0,4.0,2796-NNUFI
29.0,33.75,1009.25,154.9572486299865,1.0,6.0,2.0,3016-KSVCP
30.0,82.05,2570.2,303.0979877612579,0.0,0.0,2.0,4767-HZZHQ
1.0,74.7,74.7,185.36153878932905,1.0,1.0,3.0,2424-WVHPL
66.0,84.0,5714.25,232.6567703769008,0.0,6.0,3.0,7233-PAHHL
65.0,111.05,7107,323.804673077564,2.0,4.0,1.0,6067-NGCEU
72.0,100.9,7459.05,387.8376019456623,0.0,4.0,2.0,9848-JQJTX
12.0,78.95,927.35,251.4467741255536,0.0,0.0,3.0,8637-XJIVR
71.0,66.85,4748.7,87.53225844498037,0.0,4.0,3.0,9803-FTJCG
5.0,21.05,113.85,33.07248586767532,0.0,0.0,3.0,0278-YXOOG
52.0,21.0,1107.2,0.0,0.0,0.0,3.0,3212-KXOCR
25.0,98.5,2514.5,268.72153647942423,0.0,0.0,2.0,4598-XLKNJ
1.0,20.2,20.2,0.0,0.0,0.0,2.0,6380-ARCEH
1.0,19.45,19.45,0.0,0.0,2.0,2.0,3679-XASPY
38.0,95.0,3605.6,246.81660784354352,0.0,3.0,2.0,7123-WQUHX
66.0,45.55,3027.25,164.91113996610633,0.0,0.0,3.0,5386-THSLQ
68.0,110.0,7611.85,354.6277336116996,0.0,5.0,2.0,3192-NQECA
5.0,24.3,100.2,97.44586813694094,0.0,0.0,2.0,6180-YBIQI
72.0,104.15,7303.05,333.04953054491546,1.0,4.0,2.0,6728-DKUCO
32.0,30.15,927.65,76.68432597675624,1.0,4.0,2.0,9750-BOOHV
43.0,94.35,3921.3,365.0570775679087,0.0,8.0,2.0,8597-CWYHH
72.0,19.4,1363.25,0.0,0.0,7.0,3.0,2848-YXSMW
55.0,96.75,5238.9,341.3902145789834,0.0,2.0,3.0,0486-HECZI
52.0,57.95,3042.25,114.77932199407962,0.0,3.0,4.0,4549-ZDQYY
43.0,91.65,3954.1,334.1272515309069,1.0,4.0,3.0,5712-AHQNN
37.0,76.5,2868.15,156.6584600054715,—,0.0,1.0,4846-WHAFZ
64.0,54.6,3423.5,271.9840964124048,0.0,0.0,3.0,5256-SKJGO
3.0,89.85,248.4,284.040308050815,0.0,,2.0,UNK-5a714e94
36.0,31.05,1126.35,115.88421186136254,0.0,4.0,4.0,9560-BBZXK
10.0,100.25,1064.65,363.8822539438953,0.0,2.0,1.0,5299-RULOA
41.0,20.65,835.15,14.439823420577566,0.0,4.0,3.0,8402-OOOHJ
27.0,85.2,2151.6,276.79127965274165,0.0,1.0,3.0,9445-ZUEQE
56.0,99.8,5515.45,362.7933682049239,0.0,3.0,2.0,1091-SOZGA
6.0,20.7,112.75,15.101985161030608,2.0,0.0,,2928-HLDBA
3.0,74.4,229.55,281.0907557722348,0.0,4.0,2.0,0404-SWRVG
7.0,50.7,350.35,105.42348329898152,1.0,7.0,3.0,6497-TILVL
4.0,20.85,62.9,,2.0,0.0,3.0,7219-TLZHO
33.0,88.95,3027.65,365.0025072839588,0.0,2.0,3.0,4622-YNKIJ
27.0,78.05,2135.5,129.17060779007662,0.0,0.0,3.0,4412-YLTKF
72.0,23.55,1723.95,87.05047421917888,0.0,3.0,3.0,6734-PSBAW
1.0,,19.75,10.17813843466806,0.0,1.0,4.0,3930-ZGWVE
71.0,56.45,3985.35,151.6952406027606,0.0,0.0,,2639-UGMAZ
13.0,85.95,1215.65,275.6865785467885,1.0,8.0,3.0,2876-GZYZC
25.0,58.6,1502.65,244.17708946689729,0.0,3.0,2.0,6207-WIOLX
67.0,50.55,3260.1,138.4541117985965,0.0,4.0,4.0,8587-XYZSF
1.0,35.45,35.45,150.57582736640353,0.0,0.0,ORPH-40b5882e,3091-FYHKI
2.0,44.35,81.25,130.2471707166766,0.0,11.0,2.0,2372-HWUHI
43.0,25.7,1188.2,30.574959811252235,0.0,0.0,3.0,7799-LGRDP
23.0,75.0,1778.5,206.9307502663003,0.0,5.0,1.0,7850-VWJUU
64.0,20.2,1277.75,62.44441321639542,0.0,4.0,3.0,3774-VBNXY
57.0,19.6,1170.55,0.0,0.0,0.0,4.0,6217-KDYWC
1.0,70.45,70.45,162.23369103574285,1.0,2.0,3.0,0390-DCFDQ
72.0,88.05,6425.65,188.34814867464357,0.0,5.0,unknown,3146-MSEGF
8.0,71.15,563.65,234.79946197039496,0.0,6.0,2.0,4080-OGPJL
61.0,101.05,5971.25,349.99922869297075,0.0,8.0,1.0,1095-WGNGG
64.0,84.3,5289.05,264.5492848346662,0.0,1.0,,2636-SJDOU
71.0,23.95,1756.2,32.90036461011447,0.0,0.0,3.0,1131-QQZEB
65.0,99.05,6416.7,325.83318876542813,,3.0,3.0,5716-EZXZN
3.0,19.6,61.35,43.58111860145642,0.0,0.0,3.0,6837-BJYDQ
1.0,45.65,45.65,112.19201714140542,0.0,0.0,3.0,2135-RXIHG
30.0,64.5,1929.95,161.04340837633947,0.0,2.0,3.0,6440-DKQGE
15.0,69.5,1071.4,199.71701846039565,0.0,5.0,1.0,3466-BYAVD
8.0,68.55,564.35,232.69497312943557,1.0,3.0,2.0,3780-YVMFA
7.0,95.0,655.5,397.2199483435653,0.0,0.0,,3874-EQOEP
70.0,108.15,7930.55,354.4395270924824,0.0,4.0,3.0,1679-JRFBR
62.0,86.1,,189.4214950434687,0.0,8.0,2.0,9073-ZZIAY
6.0,19.7,113.5,,1.0,3.0,2.0,3077-RSNTJ
14.0,80.9,1152.8,341.7869166786812,0.0,4.0,2.0,6551-GNYDG
22.0,84.15,1821.95,227.6399234279477,0.0,,2.0,9167-APMXZ
22.0,20.15,419.9,15.117590148521048,0.0,4.0,3.0,2749-CTKAJ
16.0,64.25,1024,161.166541768235,0.0,0.0,2.0,6371-NZYEG
10.0,25.7,251.6,77.98671798038568,1.0,0.0,3.0,7554-NEWDD
13.0,56.0,764.55,125.21649582712406,2.0,3.0,1.0,8992-VONJD
20.0,82.4,1592.35,265.6187069340413,1.0,0.0,3.0,0867-MKZVY
2.0,69.7,135.2,267.3405881322378,0.0,4.0,3.0,4482-EWFMI
53.0,73.9,3958.25,172.49304212475,0.0,9.0,3.0,4648-YPBTM
11.0,20.6,233.9,36.82489488158808,0.0,0.0,2.0,2907-ILJBN
69.0,19.9,1363.45,98.8667453192919,0.0,4.0,3.0,6345-FZOQH
4.0,70.9,273,256.3766987261463,0.0,6.0,2.0,3376-BMGFE
72.0,89.05,6254.45,241.07515724375588,0.0,5.0,2.0,5997-OPVFA
58.0,45.3,2651.2,128.11366141720552,0.0,3.0,3.0,UNK-a38dfccb
16.0,20.4,321.4,78.90830607876349,2.0,1.0,2.0,1159-WFSGR
43.0,84.25,3539.25,270.8282951615769,0.0,6.0,3.0,
2.0,104.4,242.8,316.7003628585708,1.0,2.0,2.0,1875-QIVME
14.0,81.95,1181.75,215.2975065475969,1.0,9.0,2.0,6727-IOTLZ
53.0,94.85,5000.2,323.83737797881565,1.0,0.0,2.0,0691-JVSYA
32.0,20.55,654.55,23.31767257005856,0.0,0.0,3.0,5918-VUKWP
34.0,24.7,780.2,18.735118345285304,1.0,2.0,2.0,1744-JHKYS
15.0,74.45,1145.7,237.64858109397747,0.0,0.0,2.0,2656-FMOKZ
7.0,76.45,503.6,141.70427729459703,0.0,0.0,2.0,2070-FNEXE
15.0,,1559.25,359.1413782542394,0.0,2.0,1.0,5947-SGKCL
61.0,20.55,1252,44.18964162422034,0.0,2.0,2.0,3712-PKXZA
1.0,29.95,29.95,149.15096210007133,1.0,4.0,ORPH-7e3eac54,6317-YPKDH
1.0,45.3,45.3,140.05044589220515,0.0,3.0,3.0,6582-OIVSP
8.0,84.5,662.65,285.80012748962304,0.0,0.0,2.0,9367-WXLCH
33.0,74.75,2453.3,227.1520706411806,0.0,4.0,2.0,5524-KHNJP
13.0,79.25,1111.65,195.98864256781104,1.0,0.0,2.0,1918-ZBFQJ
1.0,24.8,24.8,130.46957950704228,0.0,3.0,3.0,1024-GUALD
20.0,51.8,1023.85,167.2787972750494,1.0,2.0,3.0,4827-USJHP
3.0,30.4,82.15,190.78433742220625,0.0,4.0,2.0,8167-GJLRN
13.0,19.65,244.8,116.69926915132508,0.0,1.0,3.0,0956-SYCWG
40.0,56.6,2379.1,96.60063540088856,0.0,4.0,2.0,8017-UVSZU
43.0,71.9,3173.35,209.3378614300352,0.0,0.0,,7100-FQPRV
6.0,91.0,531,260.2352919299462,0.0,2.0,2.0,2472-OVKUP
69.0,19.75,1375.4,86.12050760156312,0.0,0.0,3.0,
72.0,109.7,8129.3,373.7317637980559,0.0,3.0,1.0,9680-NIAUV
59.0,19.3,1192.7,103.1411330217628,0.0,2.0,2.0,2146-EGVDT
20.0,96.55,1901.65,329.27321423883785,0.0,7.0,2.0,2604-IJPDU
24.0,24.1,587.4,0.0,0.0,0.0,3.0,9178-JHUVJ
59.0,111.35,6519.75,323.01688600989854,0.0,5.0,ORPH-01620df6,6168-YBYNP
72.0,112.25,8041.65,363.8040035689079,0.0,0.0,2.0,7255-SSFBC
1.0,20.75,20.75,67.72866869232986,1.0,0.0,2.0,3645-DEYGF
27.0,101.9,2681.15,333.94327557002055,0.0,3.0,2.0,9323-HGFWY
14.0,80.05,1112.3,265.663483101722,0.0,4.0,3.0,8544-GOQSH
71.0,105.55,7405.5,273.3609037290568,0.0,3.0,2.0,3363-DTIVD
13.0,78.3,1033.95,311.5991018681375,0.0,0.0,2.0,7018-WBJNK
44.0,68.85,2958.95,256.9684922756306,0.0,0.0,2.0,9142-KZXOP
33.0,79.95,2684.85,296.6352368156799,0.0,6.0,3.0,7674-YTAFD
72.0,55.45,4179.2,137.40075924886554,0.0,3.0,3.0,6348-SNFUS
1.0,79.9,79.9,281.28835407867496,0.0,0.0,1.0,1285-OKIPP
19.0,106.6,1934.45,,0.0,2.0,2.0,7825-ECJRF
64.0,102.45,6654.1,367.4232051951993,0.0,0.0,2.0,1347-KTTTA
2.0,46.0,84.5,37.03688154695772,0.0,1.0,3.0,7841-TZDMQ
1.0,25.25,25.25,121.89063361875152,0.0,5.0,3.0,4195-NZGTA
61.0,19.75,1124.2,8.517663030958925,1.0,0.0,3.0,7157-SMCFK
29.0,20.0,540.05,0.0,0.0,0.0,3.0,4709-LKHYG
23.0,86.8,1975.85,269.48184313904505,0.0,6.0,2.0,2504-DSHIH
57.0,58.75,3437.45,182.72960146203667,0.0,4.0,,0699-NDKJM
72.0,45.25,3139.8,134.71614327950138,0.0,4.0,4.0,9286-BHDQG
66.0,56.6,3789.2,181.8093600755685,0.0,6.0,2.0,0230-WEQUW
65.0,84.2,5324.5,249.80344432831228,0.0,8.0,3.0,2040-LDIWQ
8.0,80.0,624.6,311.3348326966718,0.0,5.0,3.0,6496-JDSSB
4.0,-,268.35,245.3497819264605,2.0,5.0,2.0,9408-SSNVZ
71.0,24.75,1836.9,0.0,0.0,3.0,3.0,4443-EMBNA
1.0,20.2,20.2,57.83115397360449,0.0,4.0,3.0,6469-MRVET
4.0,50.05,179.35,172.52681658013867,0.0,0.0,3.0,0742-MOABM
12.0,19.35,219.35,0.0,0.0,5.0,ORPH-a9210941,5961-VUSRV
24.0,50.6,1288.75,232.72382037834527,1.0,4.0,3.0,6778-JFCMK
31.0,81.15,2545.75,184.1567570454196,0.0,5.0,3.0,6341-JVQGF
1.0,55.2,55.2,192.25754878331023,0.0,2.0,2.0,2232-DMLXU
30.0,89.9,,298.667372338089,0.0,0.0,3.0,4811-JBUVU
-,85.3,4107.25,268.6166100807608,0.0,10.0,3.0,0945-TSONX
54.0,108.0,5760.65,351.30598886466584,0.0,6.0,2.0,2651-ZCBXV
50.0,93.5,4747.5,317.47352838775987,0.0,0.0,3.0,3316-UWXUY
1.0,84.6,84.6,304.7281694814547,0.0,3.0,2.0,8937-RDTHP
72.0,20.25,1566.9,42.103655771970125,0.0,3.0,3.0,7083-MIOPC
29.0,25.15,702,26.20902975868895,0.0,3.0,—,1984-GPTEH
2.0,54.4,114.1,63.38954177214438,0.0,8.0,3.0,1251-KRREG
10.0,29.6,299.05,114.27582482280124,0.0,0.0,2.0,0621-JFHOL
18.0,73.15,1305.95,256.9922220427998,0.0,0.0,2.0,9903-LYSAB
11.0,95.0,1120.3,305.6561101389587,0.0,7.0,1.0,0094-OIFMO
16.0,19.75,284.35,0.0,1.0,0.0,3.0,9227-UAQFT
72.0,86.6,6350.5,226.55738895397204,0.0,7.0,,7301-ABVAD
72.0,109.2,7878.3,357.553617886058,0.0,0.0,3.0,6614-FHDBO
41.0,74.7,3187.65,194.1665057719314,0.0,7.0,2.0,7576-ASEJU
65.0,94.4,6126.15,175.484891289261,0.0,5.0,3.0,9058-HRZSV
13.0,54.8,731.3,98.25102215735208,0.0,0.0,2.0,4522-AKYLR
4.0,75.35,273.4,170.82463511841945,0.0,2.0,2.0,0221-WMXNQ
41.0,65.0,2531.8,199.39536400156825,0.0,2.0,2.0,0303-UNCIP
15.0,74.4,1074.3,178.49229752451862,0.0,0.0,2.0,9947-OTFQU
1.0,48.55,48.55,128.63141557917828,1.0,1.0,ORPH-985fb0d1,0322-YINQP
42.0,99.0,4298.45,288.82531498786943,1.0,4.0,2.0,0959-WHOKV
51.0,93.5,4619.55,327.63179590905,0.0,4.0,1.0,4075-JFPGR
2.0,70.4,147.15,271.7919515031492,0.0,2.0,ORPH-0ab631d8,4629-NRXKX
1.0,40.2,40.2,107.59691280530086,0.0,1.0,2.0,9514-JDSKI
32.0,83.7,2633.3,232.30576248143691,1.0,7.0,2.0,3282-ZISZV
10.0,19.85,193.05,41.30706079046118,0.0,0.0,2.0,3675-YDUPJ
67.0,59.55,4103.9,168.66481156048107,0.0,5.0,2.0,4111-BNXIF
61.0,115.1,7008.15,352.9477162941231,0.0,0.0,2.0,7017-VFHAY
50.0,114.35,5791.1,366.73177990612425,1.0,2.0,2.0,6655-LHBYW
2.0,44.6,80.55,92.8108766160123,1.0,5.0,2.0,4959-JOSRX
29.0,45.0,1228.65,147.34313695540823,0.0,4.0,3.0,5046-NUHWD
3.0,41.15,132.2,129.87124043901375,1.0,0.0,1.0,7273-TEFQD
13.0,106.9,1364.3,240.79880285864212,0.0,7.0,ORPH-286a7b79, 3606-TWKGI  
57.0,89.85,4925.35,221.09495697357104,0.0,5.0,3.0,7529-ZDFXI
31.0,49.85,1520.1,163.81352484051988,0.0,2.0,3.0,7605-BDWDC
,113.3,5032.25,314.2373643851049,,3.0,ORPH-10776253,1950-KSVVJ
61.0,88.1,5526.75,191.71404636190297,2.0,8.0,1.0,0123-CRBRT
50.0,24.9,1195.25,15.18142590081995,0.0,2.0,3.0,6292-TOSSS
19.0,105.0,2007.25,280.2735668747771,0.0,7.0,ORPH-c0f280be,3197-ARFOY
59.0,19.35,1099.6,60.991323827585816,0.0,3.0,3.0,6323-AYBRX
71.0,24.25,1732.95,19.4854688162479,0.0,0.0,3.0,7014-ZZXAW
16.0,94.45,1511.2,253.08809694530893,1.0,0.0,2.0,4385-GZQXV
57.0,59.75,3450.15,98.69589750483304,0.0,4.0,3.0,7633-MVPUY
1.0,24.8,24.8,104.91653825520768,0.0,2.0,2.0,6366-ZGQGL
20.0,-107.05,2172.05,281.9007616733882,0.0,7.0,2.0,4716-HHKQH
1.0,70.6,70.6,266.3227831681859,0.0,3.0,2.0,5940-AHUHD
5.0,85.4,401.1,269.62413391976423,0.0,0.0,3.0,6432-TWQLB
52.0,105.05,5624.85,375.2883343187086,0.0,3.0,2.0,4484-GLZOU
21.0,64.95,1339.8,152.1079786508815,0.0,0.0,2.0,3179-GBRWV
14.0,55.0,771.95,181.14807644172683,0.0,7.0,ORPH-3efcd2a1,8645-KWHJO
5.0,50.55,244.75,151.40932062000613,0.0,3.0,2.0,4130-MZLCC
6.0,55.15,322.9,178.79353231961792,0.0,3.0,2.0,0314-TKOSI
10.0,51.2,498.25,146.99692731488514,0.0,2.0,2.0,8229-MYEJZ
1.0,25.4,25.4,50.54179826756525,0.0,1.0,2.0,2080-SRCDE
68.0,54.45,3687.75,148.53109624036568,,4.0,2.0,9577-WJVCQ
18.0,95.15,1779.95,348.55423124924766,1.0,0.0,2.0,9512-UIBFX
22.0,76.0,1783.6,320.0681798819154,0.0,1.0,3.0,6202-DYYFX
20.0,44.35,927.15,138.6692210854817,0.0,0.0,2.0,3808-HFKDE
1.0,70.0,70,199.2526436698492,0.0,0.0,3.0,5583-SXDAG
8.0,74.5,606.55,196.2334156870828,0.0,0.0,2.0,3488-PGMQJ
10.0,44.85,435.4,49.13079023393486,0.0,5.0,2.0,3580-REOAC
24.0,76.1,1712.7,229.1638992931985,0.0,0.0,1.0,7534-BFESC
35.0,61.2,2021.2,129.21955323420468,1.0,2.0,3.0,3727-OWVYD
23.0,86.8,1940.8,280.7326542241577,0.0,3.0,ORPH-8986f6f1,2294-SALNE
6.0,89.35,567.8,280.71828058976274,0.0,6.0,2.0,UNK-264c29ab
12.0,19.7,220.35,12.977284025261,1.0,,3.0,1563-IWQEX
1.0,20.25,20.25,58.489310088651,0.0,2.0,3.0,8203-XJZRC
71.0,76.05, 5436.45  ,210.90380584801056,0.0,2.0,2.0,6556-DBKZF
35.0,100.8,3437.5,219.85410013872604,0.0,1.0,ORPH-a9713907,6851-WEFYX
40.0,74.55,3015.75,189.4003962500201,0.0,4.0,3.0,2985-JUUBZ
1.0,73.6,73.6,241.98008446516752,1.0,6.0,2.0,6390-DSAZX
23.0,64.9,,243.955003262902,0.0,0.0,2.0,0895-LMRSF
4.0,95.45,396.1,250.82263193905217,0.0,0.0,1.0,8098-LLAZX
4.0,90.4,356.65,301.1699754999265,0.0,5.0,3.0,8266-VBFQL
68.0,60.3,4109,169.02367889744144,1.0,0.0,3.0,8181-YHCMF
38.0,81.85,3141.7,248.574133479377,2.0,3.0,1.0,2240-HSJQD
52.0,24.8,1229.1,1.7534735890013695,2.0,0.0,3.0,1248-DYXUB
32.0,74.9,2303.35,229.10154532148167,0.0,1.0,3.0,0265-EDXBD
29.0,75.55,2054.4,244.8171845508388,0.0,0.0,3.0,4115-BNPJY
38.0,101.15,3741.85,280.4148243287326,0.0,0.0,2.0,3167-SNQPL
48.0,78.75,3682.45,221.1838864890997,0.0,1.0,1.0,4091-TVOCN
1.0,19.25,19.25,10.54036365819378,0.0,0.0,2.0,1098-TDVUQ
22.0,89.05,1886.25,309.4587186632948,0.0,4.0,2.0,7277-OZCGZ
43.0,115.05,4895.1,377.092527951586,1.0,0.0,2.0,1557-EMYVT
5.0,69.35,341.6,222.90327836103685,0.0,0.0,1.0,2799-ARNLO
5.0,80.6,415.55,237.38583382877448,0.0,6.0,2.0,7563-BIUPC
51.0,110.05,5686.4,388.9033171398103,0.0,2.0,2.0,5027-YOCXN
71.0,19.9,1355.1,0.0,0.0,5.0,3.0,3973-SKMLN
38.0,80.3,3058.65,257.07790172952025,0.0,7.0,2.0,2321-OMBXY
24.0,93.15,2231.05,287.8714867589404,0.0,0.0,ORPH-099e0708,2840-XANRC
35.0,91.5,3236.35,327.9598198910838,0.0,6.0,2.0,6745-JEFZB
54.0,82.45,4350.1,185.41234301227104,0.0,7.0,UNK-1de8d7f4,5020-ZSTTY
72.0,60.0,4264,233.7811857925222,2.0,0.0,ORPH-b1e79138,9880-TDQAC
1.0,44.8,44.8,109.62529068065464,1.0,0.0,3.0,8705-WZCYL
9.0,48.6,422.3,90.52679257736762,0.0,4.0,-1.814185671889828,7102-JJVTX
69.0,60.05,4176.7,254.19106051039225,0.0,7.0,3.0,8626-PTQGE
52.0,102.7,5138.1,314.19868962631114,0.0,2.0,2.0,UNK-ba086208
11.0,82.9,880.05,262.84865381964084,0.0,7.0,3.0,
2.0,70.35,139.05,236.26697495633752,1.0,0.0,2.0,5804-LEPIM
28.0,35.9,973.65,83.99572089859154,0.0,0.0,2.0,5697-GOMBF
17.0,82.65,1470.05,176.8492336455248,unknown,6.0,2.0,2739-CACDQ
35.0,19.85,739.35,0.0,0.0,1.0,3.0,9385-EHGDO
8.0,19.2,161.95,48.87221111976845,0.0,4.0,4.0,9498-FIMXL
46.0,94.9,4422.95,335.286093593273,0.0,2.0,3.0,2379-GYFLQ
7.0,73.85,511.25,300.2673138999473,0.0,0.0,2.0,0122-OAHPZ
